Linha,Cliente,Cidade,UF,Tipo
100,"Barretos","Barretos",SP,"Empresa não localizada"
1053,"Presidente Prudente","Presidente Prudente",SP,"Empresa não localizada"
1093,"Rio Branco","Patrocinio",MG,"Empresa não localizada"
1094,"RODOPRINCIPE ( GASTECH )TRANSPORTADORA LTDA","LONDRINA",PR,"Empresa não localizada"
1112,"Salina Sal Garsa","Porto do Mangue",RN,"Empresa não localizada"
1120,"Santa Clara","Araxá",MG,"Empresa não localizada"
1127,"São José do Rio Preto","São José Do Rio Preto",SP,"Empresa não localizada"
1129,"São Mateus","São Mateus",ES,"Empresa não localizada"
1140,"SCGÁS","Içara",SC,"Empresa não localizada"
115,"BERLU INDUSTRIA E COMERCIO DE CONDIMENTOS LTDA","Arapiraca",AL,"Empresa não localizada"
1151,"Shox Usina de Asfalto","Arapiraca",AL,"Empresa não localizada"
118,"Betânia Lacteos (Capela)","Capela",BA,"Empresa não localizada"
1192,"SLGAS","Santa Cruz Do Sl",RS,"Empresa não localizada"
1213,"Tate and Lyle","Ribeirão Preto",SP,"Empresa não localizada"
1222,"Teófilo Otoni","Teófilo Otoni",MG,"Empresa não localizada"
1227,"TETTO GRES","JAGUARUNA",SC,"Empresa não localizada"
1235,"Três Corações","Três Corações",MG,"Empresa não localizada"
1239,"Uberaba","Uberaba",MG,"Empresa não localizada"
1240,"Uberlândia","Uberlândia",MG,"Empresa não localizada"
1243,"UNIÃO QUÍMICA","Luziânia",GO,"Empresa não localizada"
125,"Bial Barbieri","Betim",MG,"Empresa não localizada"
1252,"Uniminas","Cambuí",MG,"Empresa não localizada"
1257,"URUTEMPER","Uruaçú",GO,"Empresa não localizada"
1263,"USINA CAETE S/A","CAETE",AL,"Empresa não localizada"
1267,"USINDI","PRAIA GRANDE",SC,"Empresa não localizada"
1269,"Vale - Mineração Onça Puma","Parauapebas",PA,"Empresa não localizada"
1274,"Valorem Agronegócios","Unaí",MG,"Empresa não localizada"
1277,"Varginha","Varginha",MG,"Empresa não localizada"
1292,"Votorantim - Rondon/Alumina","Rondon do Pará",PA,"Empresa não localizada"
1293,"Votorantim - Rondon/Bauxita","Rondon do Pará",PA,"Empresa não localizada"
1315,"Zamin Mineração","Serra do Navio",AP,"Empresa não localizada"
135,"Bombril - Paulista","Paulista",PE,"Empresa não localizada"
137,"Brainfarma","Aparecida De Goiânia",GO,"Empresa não localizada"
146,"Brasilata","Lajeado",RS,"Empresa não localizada"
152,"Base MarceloIAN ITALIAN OIL","Barra Do Garças",MT,"Empresa não localizada"
153,"Base MarceloIAN ITALIAN OIL","Barra do garça",MS,"Empresa não localizada"
186,"Cachoeiro de Itapemirim","Cachoeiro De Itapemirim",ES,"Empresa não localizada"
193,"Café Melitta/Bom JeSs","Bom JeSs",RS,"Empresa não localizada"
196,"Cal oeste","Arcos",MG,"Empresa não localizada"
224,"CB Lins","Trindade",PE,"Empresa não localizada"
230,"CC Infra","Biguaçu",SC,"Empresa não localizada"
