OBJECTID_1;Nome da Base;Município;UF;Razão Social;Latitude;Longitude;Capaciade (m3);x;y
281;RAÍZEN -BASE - OURINHOS/SP;OURINHOS;SP;RAIZEN COMBUSTÍVEIS S.A.;-22.994475;-49.83857;37866.92;-49.83856999999995;-22.994474999999966
282;BASE DE CARACARAI;CARACARAI;RR;DISTRIBUIDORA EQUADOR DE PRODUTOS DE PETRÓLEO LTDA.;1.810715;-61.129216;400;-61.129215999999985;1.810715000000073
283;VIBRA ENERGIA S.A.;VOLTA REDONDA;RJ;VIBRA ENERGIA S.A.;-22.50826184;-44.08152761;11591.73;-44.081527609999966;-22.508261839999932
284;JOAPI - MATRIZ;NOVA SANTA RITA;RS;JOAPI DISTRIBUIDORA DE COMBUSTÍVEIS S.A.;-29.83193167;-51.251665;832.79;-51.251664999999946;-29.83193166999996
285;STANG - BASE - UMUARAMA/PR;UMUARAMA;PR;STANG DISTRIBUIDORA DE PETRÓLEO LTDA.;-23.83552;-53.292565;2653.41;-53.29256499999997;-23.835519999999974
286;IPIRANGA - BASE COMPARTILHADA - CAMPOS DOS GOYTACAZES/RJ;CAMPOS DOS GOYTACAZES;RJ;IPIRANGA PRODUTOS DE PETRÓLEO S.A;-21.78637672;-41.38374392;9903.53;-41.38374391999997;-21.786376719999964
287;IPIRANGA - BASE - SANTA MARIA/RS;SANTA MARIA;RS;IPIRANGA PRODUTOS DE PETRÓLEO S.A;-29.69387333;-53.768555;5872;-53.768554999999935;-29.693873329999974
288;ART PETRO -  NOVA ESPERANÇA;NOVA ESPERANCA;PR;ART PETRO DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.;-23.20844208;-52.19363039;750;-52.19363038999995;-23.20844207999994
289;VIBRA ENERGIA - BASE - BARCARENA/PA;BARCARENA;PA;VIBRA ENERGIA S.A.;-1.5440775;-48.7419382;59224;-48.741938199999936;-1.5440774999999576
290;SABBÁ - BASE - MARABÁ/PA;MARABA;PA;PETRÓLEO SABBÁ S.A.;-5.42053;-49.101013;18959.99;-49.101012999999966;-5.420529999999928
291;TORRÃO - BASE - CUIABÁ/MT (EX PETROFORTE);CUIABA;MT;DISTRIBUIDORA DE COMBUSTÍVEL TORRÃO LTDA.;-15.668135;-55.98489;1876;-55.98488999999995;-15.66813499999995
292;LÍDER DISTRIBUIDORA - MATRIZ - CUIABÁ/MT;CUIABA;MT;LIDER DISTRIBUIDORA DE PETRÓLEO LTDA.;-15.67374667;-55.97336333;2311.77;-55.973363329999984;-15.673746669999957
293;IPIRANGA - BASE - CUIABÁ/MT;CUIABA;MT;IPIRANGA PRODUTOS DE PETRÓLEO S.A;-15.67236833;-55.97630333;3859.34;-55.97630332999995;-15.672368329999927
294;RAIZEN - UBERLÂNDIA/MG;UBERLANDIA;MG;RAIZEN COMBUSTÍVEIS S.A.;-18.99664667;-48.39635167;19612;-48.396351669999945;-18.99664666999996
295;RAIZEN - MARINGÁ/PR;MARINGA;PR;RAIZEN COMBUSTÍVEIS S.A.;-23.43463167;-51.89312333;16654.69;-51.89312332999998;-23.43463166999993
296;SAARA - BASE - CASCAVEL/PR;CASCAVEL;PR;DISTRIBUIDORA DE COMBUSTÍVEIS SAARA S.A.;-24.90679833;-53.37443167;788;-53.37443166999998;-24.90679832999996
297;SETTA COMBUSTÍVEIS - CHA DE ALEGRIA/PE;CHA DE ALEGRIA;PE;SETTA COMBUSTÍVEIS S/A.;-8.02559;-35.22997833;6160;-35.22997832999994;-8.025589999999966
298;RAÍZEN - BASE COMPARTILHADA - FORTALEZA/CE;FORTALEZA;CE;RAIZEN COMBUSTÍVEIS S.A.;-3.71621933;-38.46810884;54260.91;-38.46810883999996;-3.7162193299999444
299;IPIRANGA - BASE - GOVERNADOR VALADARES/MG;GOVERNADOR VALADARES;MG;IPIRANGA PRODUTOS DE PETRÓLEO S.A;-18.87134893;-41.9663724;5450;-41.966372399999955;-18.871348929999954
300;SMALL - BASE DE CAMPO GRANDE;CAMPO GRANDE;MS;SMALL DISTRIBUIDORA DE DERIVADOS DE PETRÓLEO LTDA.;-20.4620406;-54.713332;800;-54.71333199999998;-20.462040599999966
301;ALESAT - BASE - BETIM/MG;BETIM;MG;ALESAT COMBUSTÍVEIS S. A.;-19.95741891;-44.09938387;8934.89;-44.09938386999994;-19.957418909999944
302;ARAGUAIA - BASE DE DISTRIBUIÇÃO - SENADOR CANEDO/GO;SENADOR CANEDO;GO;ARAGUAIA DISTRIBUIDORA DE COMBUSTÍVEIS S.A;-16.71245556;-49.1085779;9007.18;-49.10857789999994;-16.712455559999967
303;PETROBAHIA - SÃO FRANCISCO DO CONDE;SAO FRANCISCO DO CONDE;BA;PETROBAHIA S/A;-12.71075333;-38.58901167;16787.46;-38.589011669999934;-12.710753329999932
304;VIBRA ENERGIA - BASE - SÃO FRANCISCO DO CONDE/BA;SAO FRANCISCO DO CONDE;BA;VIBRA ENERGIA S.A.;-12.70275333;-38.583795;103258.34;-38.58379499999995;-12.70275332999995
305;RAIZEN - BASE COMPARTILHADA - JEQUIÉ/BA;JEQUIE;BA;RAIZEN COMBUSTÍVEIS S.A.;-13.83782798;-40.1019622;12925;-40.101962199999946;-13.837827979999929
306;BASE DE FEIRA DE SANTANA;FEIRA DE SANTANA;BA;DANPETRO DISTRIBUIDORA DE PETRÓLEO S.A.;-12.31963833;-38.881575;2750;-38.88157499999994;-12.319638329999975
307;IPIRANGA - BASE - SÃO JOSÉ DO RIO PRETO/SP II;SAO JOSE DO RIO PRETO;SP;IPIRANGA PRODUTOS DE PETRÓLEO S.A;-20.794335;-49.39016333;9415.98;-49.39016332999995;-20.794334999999933
308;ALESAT - BASE - SAO JOSE DO RIO PRETO/SP;SAO JOSE DO RIO PRETO;SP;ALESAT COMBUSTÍVEIS S. A.;-20.79404;-49.39001167;3482;-49.39001166999998;-20.79403999999994
309;VIBRA ENERGIA S.A.;SAO JOSE DOS CAMPOS;SP;VIBRA ENERGIA S.A.;-23.18819827;-45.83717418;38962;-45.83717417999998;-23.18819826999993
310;RAÍZEN - BASE - SÃO PAULO/SP;SAO PAULO;SP;RAIZEN COMBUSTÍVEIS S.A.;-23.60341539;-46.5837441;75034.68;-46.58374409999993;-23.603415389999952
311;RAÍZEN - BASE - PAULÍNIA/SP;PAULINIA;SP;RAIZEN COMBUSTÍVEIS S.A.;-22.72493633;-47.14531394;66180.96;-47.14531393999994;-22.724936329999935
312;SIMARELLI - BASE - PAULÍNIA/SP;PAULINIA;SP;SIMARELLI DISTRIBUIDORA DE DERIVADOS DE PETRÓLEO LTDA.;-22.73488;-47.152955;9269.22;-47.15295499999996;-22.734879999999976
313;BASE DE PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;SP;SMALL DISTRIBUIDORA DE DERIVADOS DE PETRÓLEO LTDA.;-22.17211667;-51.402575;2211.72;-51.402574999999956;-22.17211666999998
314;IPIRANGA  - BASE - MANAUS/AM;MANAUS;AM;IPIRANGA PRODUTOS DE PETRÓLEO S.A;-3.14892667;-59.957895;9985.5;-59.95789499999995;-3.1489266699999803
315;SULPETRO - BASE - TUBARÃO/SC;TUBARAO;SC;DISTRIBUIDORA SUL DE PETRÓLEO LTDA.;-28.46026167;-48.98729667;833.99;-48.98729666999998;-28.460261669999966
316;PETROX - BASE - NOSSA SENHORA DO SOCORRO/SE;NOSSA SENHORA DO SOCORRO;SE;PETROX DISTRIBUIDORA LTDA.;-10.85624;-37.11483333;3129.56;-37.11483332999995;-10.856239999999957
317;IPIRANGA - BASE - OURINHOS/SP;OURINHOS;SP;IPIRANGA PRODUTOS DE PETRÓLEO S.A;-22.98629833;-49.85979167;10318;-49.859791669999936;-22.986298329999954
318;ALESAT - BASE - GUARULHOS/SP;GUARULHOS;SP;ALESAT COMBUSTÍVEIS S. A.;-23.46717667;-46.44023667;10721;-46.44023666999993;-23.467176669999958
