OBJECTID_1;Nome da Base;Município;UF;Razão Social;Latitude;Longitude;Capacidade (t);x;y
177;NACIONAL GÁS BUTANO - BASE - ARACAJÚ/SE;ARACAJU;SE;NACIONAL GAS BUTANO DISTRIBUIDORA LTDA;-10.99575833;-37.06495667;356;-37.06495666999996;-10.995758329999944
178;SERVGAS - BASE - GUARULHOS/SP;GUARULHOS;SP;SERVGÁS DISTRIBUIDORA DE GÁS S. A.;-23.43873255;-46.43018307;343;-46.43018306999994;-23.43873254999994
179;COPAGAZ - BASE - JARDINÓPOLIS/SP;JARDINOPOLIS;SP;COPAGAZ DISTRIBUIDORA DE GÁS S/A.;-21.037695;-47.83121333;349.88;-47.83121332999997;-21.03769499999993
180;AMAZONGÁS - BASE - PORTO VELHO/RO;PORTO VELHO;RO;AMAZONGÁS DISTRIBUIDORA DE GÁS LIQUEFEITO DE PETRÓLEO LTDA.;-8.74967667;-63.9127;1560;-63.91269999999997;-8.749676669999928
181;NACIONAL GÁS BUTANO - BASE - GUAMARÉ/RN;GUAMARE;RN;NACIONAL GAS BUTANO DISTRIBUIDORA LTDA;-5.134146;-36.38916;319;-36.38915999999995;-5.13414599999993
182;NACIONAL GÁS BUTANO - BASE - MACAÉ/RJ;MACAE;RJ;NACIONAL GAS BUTANO DISTRIBUIDORA LTDA;-22.29407398;-41.7126251;163;-41.71262509999997;-22.29407397999995
183;SUPERGASBRAS -BASE- LONDRINA/PR;LONDRINA;PR;SUPERGASBRAS ENERGIA LTDA;-23.27612;-51.21056;280.52;-51.21055999999999;-23.276119999999935
184;LIQUIGÁS - BASE - LONDRINA/PR;LONDRINA;PR;LIQUIGÁS DISTRIBUIDORA S.A.;-23.279435;-51.221575;56.95;-51.22157499999997;-23.279434999999978
185;NACIONAL - BASE - BELÉM/PA;BELEM;PA;NACIONAL GAS BUTANO DISTRIBUIDORA LTDA;-1.40436337;-48.48770092;1897;-48.48770091999995;-1.4043633699999418
186;LIQUIGÁS - BASE -  PONTA GROSSA/PR;PONTA GROSSA;PR;LIQUIGÁS DISTRIBUIDORA S.A.;-25.09017;-50.19634667;57.63;-50.19634666999997;-25.090169999999944
187;ULTRAGAZ- BASE - ARAUCÁRIA/PR;ARAUCARIA;PR;COMPANHIA ULTRAGAZ S A;-25.55658768;-49.36103885;232;-49.36103884999994;-25.55658767999995
188;NACIONAL GÁS BUTANO - BASE - SERRA/ES;SERRA;ES;NACIONAL GAS BUTANO DISTRIBUIDORA LTDA;-20.19289966;-40.23982873;176;-40.23982872999994;-20.192899659999966
189;LIQUIGAS - BASE - BRASILIA/DF;BRASILIA;DF;LIQUIGÁS DISTRIBUIDORA S.A.;-15.80065667;-47.98019667;226.56;-47.98019666999994;-15.800656669999967
190;SUPERGASBRAS -BASE- SÃO FRANCISCO DO CONDE/BA;SAO FRANCISCO DO CONDE;BA;SUPERGASBRAS ENERGIA LTDA;-12.70897333;-38.586225;159.24;-38.586224999999956;-12.708973329999935
191;NACIONAL GÁS BUTANO - BASE - JEQUIÉ/BA;JEQUIE;BA;NACIONAL GAS BUTANO DISTRIBUIDORA LTDA;-13.841388;-40.099888;177;-40.099887999999964;-13.841387999999938
192;NACIONAL GÁS BUTANO - BASE - ITABUNA/BA;ITABUNA;BA;NACIONAL GAS BUTANO DISTRIBUIDORA LTDA;-14.821045;-39.307286;174;-39.307285999999976;-14.82104499999997
193;ULTRAGAZ - BASE - SANTOS/SP;SANTOS;SP;COMPANHIA ULTRAGAZ S A;-23.927725;-46.35554167;2111.31;-46.35554166999998;-23.927724999999953
194;GASBALL - BASE - PAULÍNIA/SP;PAULINIA;SP;GASBALL ARMAZENADORA E DISTRIBUIDORA LTDA.;-22.71908833;-47.14065;348;-47.14064999999994;-22.719088329999977
195;VIDA E ENERGIA - BASE - PAULÍNIA/SP;PAULINIA;SP;VIDA & ENERGIA DISTRIBUIDORA DE GÁS LIQUEFEITO DE PETRÓLEO LTDA;-22.71416167;-47.13655667;329.46;-47.13655666999995;-22.714161669999953
196;SUPERGASBRAS- BASE- PAULÍNIA/SP;PAULINIA;SP;SUPERGASBRAS ENERGIA LTDA;-22.716165;-47.14188667;1093.81;-47.14188666999996;-22.716164999999933
197;MASTERGAS- BASE- RIO CLARO/SP;RIO CLARO;SP;MASTERGAS COMÉRCIO, TRANSPORTE E DISTRIBUIÇÃO DE GLP RIO CLARO LTDA.;-22.359901;-47.54627;40;-47.546269999999936;-22.35990099999998
198;FOGAS - BASE - MANAUS/AM;MANAUS;AM;SOCIEDADE FOGAS LTDA;-3.14244167;-59.95381667;1440;-59.95381666999998;-3.1424416699999256
199;ULTRAGAZ - BASE - PALHOCA/SC;PALHOCA;SC;COMPANHIA ULTRAGAZ S A;-27.655735;-48.6774;58.66;-48.67739999999998;-27.655734999999936
200;NACIONAL GÁS BUTANO - BASE - NATAL/RN;NATAL;RN;NACIONAL GAS BUTANO DISTRIBUIDORA LTDA;-5.725346;-35.281339;95;-35.281338999999946;-5.725345999999945
201;ULTRAGAZ - BASE - CANOAS/RS;CANOAS;RS;COMPANHIA ULTRAGAZ S A;-29.87700333;-51.16266;576.6;-51.16265999999996;-29.87700332999998
202;COMPANHIA ULTRAGAZ S.A.;CAXIAS DO SUL;RS;COMPANHIA ULTRAGAZ S A;-29.136155;-51.1946;115.63;-51.19459999999998;-29.136154999999974
203;SUPERGASBRAS - BASE - CURITIBANOS/SC;CURITIBANOS;SC;SUPERGASBRAS ENERGIA LTDA;-27.31470167;-50.545675;54.62;-50.54567499999996;-27.314701669999977
