linha;2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06;2026-07;2026-08;2026-09;2026-10;2026-11;2026-12;2027-01;2027-02;2027-03;2027-04;2027-05;2027-06;2027-07;2027-08;2027-09;2027-10;2027-11;2027-12;2028-01;2028-02;2028-03;2028-04;2028-05;2028-06;2028-07;2028-08;2028-09;2028-10;2028-11;2028-12;2029-01;2029-02;2029-03;2029-04;2029-05;2029-06;2029-07;2029-08;2029-09;2029-10;2029-11;2029-12;2030-01;2030-02;2030-03;2030-04;2030-05;2030-06;2030-07;2030-08;2030-09;2030-10;2030-11;2030-12;2031-01;2031-02;2031-03;2031-04;2031-05;2031-06;2031-07;2031-08;2031-09;2031-10;2031-11;2031-12;2032-01;2032-02;2032-03;2032-04;2032-05;2032-06;2032-07;2032-08;2032-09;2032-10;2032-11;2032-12;2033-01;2033-02;2033-03;2033-04;2033-05;2033-06;2033-07;2033-08;2033-09;2033-10;2033-11;2033-12;2034-01;2034-02;2034-03;2034-04;2034-05;2034-06;2034-07;2034-08;2034-09;2034-10;2034-11;2034-12;2035-01;2035-02;2035-03;2035-04;2035-05;2035-06;2035-07;2035-08;2035-09;2035-10;2035-11;2035-12;2036-01;2036-02;2036-03;2036-04;2036-05;2036-06;2036-07;2036-08;2036-09;2036-10;2036-11;2036-12;2037-01;2037-02;2037-03;2037-04;2037-05;2037-06;2037-07;2037-08;2037-09;2037-10;2037-11;2037-12;2038-01;2038-02;2038-03;2038-04;2038-05;2038-06;2038-07;2038-08;2038-09;2038-10;2038-11;2038-12
receita_bruta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28953.7348;1032562.3742;3200780.9892;2023924.8548;408481.0978;310793.6808;181151.4075;776285.4891;1109239.9428;1685525.6683;1500328.7411;1652725.0432;2243361.3222;1569678.9856;36094.2869;3187434.7629;1387238.8186;3447523.9899;4232793.0319;5462721.1696;8136076.6973;7869241.0106;7510164.4775;10042378.5602;14210143.1775;14436468.5907;16603634.1618;16756236.8507;19552921.0653;20590637.3911;27497569.4579;28151466.0579;27675354.3683;31119557.6206;31343340.845;30334694.6489;32096984.8358;30772351.2454;31812923.308;42060074.7338;39631061.0829;42359044.0014;41397956.3552;43098794.0597;42905862.3322;53662719.2571;53981146.7942;52242343.7767;53991467.8987;52425290.0416;55410391.4399;60710497.0732;56029024.2464;62023749.71;60057155.3758;62133303.5974;61587469.9582;63658054.2542;63918737.7654;61859458.1223;63929029.6179;62061806.3551;63303732.7174;90897672.6112;82187224.3494;90984312.4411;88084904.5722;91105583.5951;90546163.4385;93583041.3216;93928924.8203;90901672.0858;93939774.0792;91109387.4718;94175789.2244;93645049.172;85521631.1388;94675653.3979;91657374.2315;94800319.6414;94111615.29;97266852.0367;97619057.8743;94472863.2166;97629569.9275;94686385.1871;97870995.5272;98656240.1611;92384739.397;98750099.1149;95600691.4892;98878966.7715;98120120.1421;101409403.5201;101773254.8223;98493151.2053;101784125.813;98724235.3308;102044601.7285;102135969.0839;92347863.5652;102877742.9803;99596232.03;103011499.76;102182540.4199;105607585.1709;105994200.5298;102578036.5456;106005214.1564;102807320.8875;106263947.6664;106263947.6664;96080228.4804;106364561.8509;102970934.3042;106501481.635;105591262.9813;109130158.4841;109524704.9152;105994754.5959;109535965.5747;106231015.8857;111537326.2424;111537326.2424;100848838.5803;111643759.3192;108081184.303;111787828.445;110843069.3308;114557727.5371;114968763.0421;111263302.4995;114980431.1839;111509727.9727;115258343.6776;115384452.3795;108049201.9875;115494009.9715;99175901.7867;102532861.8245;101581503.6675;104964237.5825;105289992.2396;101896859.5224;105289992.2396;102017928.5752;105415096.9274;105415096.9274;95232704.0967;105425185.4635;102031708.2339;105439429.8931;104650914.8809;108135849.4434;108481138.364;104584776.5687;108067386.4964;104706358.7784;108193021.4465;63674404.8848;57527303.056;63679534.2331;61628790.5074;63684666.3517;63235149.2008;65339438.2163;65586007.4876;63473884.8426;65586007.4876;63577596.9235;65693176.6378
deducoes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5831.2822;-207958.0622;-644637.2912;-407618.4658;-82268.0931;-62593.8473;-36483.8935;-156343.8975;-223400.9245;-339464.8696;-302166.2085;-332858.8237;-451812.9703;-316133.3477;-7269.3894;-641949.3612;-279389.8981;-799202.6646;-975399.1586;-1237333.503;-1777826.2535;-1685622.4996;-1680129.5158;-2221434.6007;-3093190.644;-3191026.7839;-3751262.6719;-3675052.706;-4383508.9317;-4525925.7147;-5984197.9439;-6066894.2785;-5962917.9115;-6749920.9008;-6795247.1558;-6576534.8987;-7000909.7745;-6720782.4029;-6947794.645;-9253123.3919;-8713075.4839;-9312931.2286;-9094366.6048;-9462749.4524;-9410495.1519;-11619835.3633;-11690007.1379;-11313418.5272;-11692085.8083;-11358449.6397;-12002831.6335;-13062472.7387;-12039347.494;-13327588.9892;-12904781.923;-13350521.0387;-13224327.296;-13668696.6681;-13728826.6828;-13286487.9918;-13730899.4619;-13335954.4684;-13551892.114;-19169651.2627;-17332441.1437;-19187739.0596;-18576186.1086;-19213052.2765;-19082390.5235;-19722230.8361;-19801424.9898;-19163215.659;-19803610.0305;-19213775.5168;-19860160.3258;-19714737.5514;-18028647.3727;-19958473.6194;-19322100.1784;-19984483.2062;-19826074.1399;-20490605.3147;-20571589.467;-19908555.1787;-20573706.5945;-19960507.1823;-20631576.6784;-20789724.9476;-19467890.0051;-20809294.3826;-20145538.1433;-20836167.6561;-20662811.6021;-21355320.5879;-21438940.899;-20747947.1474;-21441130.3166;-20803938.5415;-21503356.2521;-21521757.6375;-19458961.9293;-21671833.4514;-20980471.118;-21699714.9229;-21511445.5095;-22232312.2513;-22320710.1696;-21601292.2211;-22322928.314;-21656996.999;-22384881.718;-22384881.718;-20239352.0062;-22405844.6746;-21690879.2827;-22434381.8787;-22228839.7357;-22973665.269;-23063849.1876;-22320479.3347;-23066117.0845;-22377888.7482;-23479345.059;-23479345.059;-21229034.4797;-23501497.0582;-22751468.9637;-23531500.7529;-23318301.0792;-24099583.4725;-24193468.1514;-23413680.0344;-24195818.1151;-23473444.9461;-24262262.3402;-24287660.6327;-22743335.3866;-24310459.446;-20990383.0729;-21700990.0955;-21485384.0205;-22200895.6037;-22277592.124;-21559628.4952;-22277592.124;-21592311.6025;-22311364.6682;-22311364.6682;-20156244.8152;-22313622.5135;-21595597.1513;-22317018.8001;-22134299.5777;-22871418.9093;-22952724.141;-22132363.8794;-22869394.5148;-22165186.5327;-22903311.2566;-13818584.8471;-12484491.1153;-13819817.5044;-13374708.708;-13821050.8274;-13708035.056;-14164254.7306;-14226055.2113;-13767866.1846;-14226055.2113;-13796115.8133;-14255246.4942
receita_liquida;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23122.4526;824604.312;2556143.698;1616306.3891;326213.0047;248199.8335;144667.514;619941.5916;885839.0184;1346060.7987;1198162.5327;1319866.2195;1791548.3519;1253545.6379;28824.8975;2545485.4016;1107848.9205;2648321.3253;3257393.8733;4225387.6665;6358250.4437;6183618.511;5830034.9617;7820943.9594;11116952.5335;11245441.8068;12852371.4899;13081184.1447;15169412.1335;16064711.6764;21513371.514;22084571.7794;21712436.4569;24369636.7198;24548093.6892;23758159.7502;25096075.0613;24051568.8425;24865128.663;32806951.3418;30917985.599;33046112.7728;32303589.7504;33636044.6074;33495367.1804;42042883.8938;42291139.6563;40928925.2496;42299382.0904;41066840.402;43407559.8063;47648024.3345;43989676.7524;48696160.7208;47152373.4528;48782782.5587;48363142.6622;49989357.5861;50189911.0827;48572970.1305;50198130.156;48725851.8867;49751840.6034;71728021.3485;64854783.2057;71796573.3815;69508718.4637;71892531.3186;71463772.915;73860810.4856;74127499.8305;71738456.4268;74136164.0487;71895611.955;74315628.8986;73930311.6206;67492983.7662;74717179.7786;72335274.0531;74815836.4352;74285541.1501;76776246.722;77047468.4073;74564308.0379;77055863.333;74725878.0047;77239418.8489;77866515.2135;72916849.3919;77940804.7322;75455153.3459;78042799.1154;77457308.54;80054082.9322;80334313.9233;77745204.0579;80342995.4964;77920296.7894;80541245.4764;80614211.4464;72888901.6359;81205909.5289;78615760.912;81311784.8371;80671094.9104;83375272.9196;83673490.3602;80976744.3245;83682285.8424;81150323.8885;83879065.9484;83879065.9484;75840876.4741;83958717.1763;81280055.0215;84067099.7562;83362423.2456;86156493.2151;86460855.7276;83674275.2612;86469848.4903;83853127.1374;88057981.1833;88057981.1833;79619804.1007;88142262.2609;85329715.3393;88256327.6921;87524768.2516;90458144.0646;90775294.8908;87849622.4651;90784613.0688;88036283.0266;90996081.3374;91096791.7468;85305866.6009;91183550.5255;78185518.7138;80831871.729;80096119.647;82763341.9787;83012400.1156;80337231.0272;83012400.1156;80425616.9727;83103732.2592;83103732.2592;75076459.2816;83111562.95;80436111.0826;83122411.093;82516615.3032;85264430.5341;85528414.223;82452412.6892;85197991.9816;82541172.2457;85289710.1899;49855820.0377;45042811.9407;49859716.7287;48254081.7994;49863615.5243;49527114.1448;51175183.4857;51359952.2763;49706018.658;51359952.2763;49781481.1102;51437930.1437
receita_gnl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;824604.312;2556143.698;1606174.9391;292690.9747;217464.951;144667.514;604892.9728;814289.704;1077757.0783;945410.2628;1166939.063;1673769.4188;1116903.866;-98010.8371;2377054.0863;922302.0156;2525755.4702;2971077.4042;3647319.3153;5538312.9169;5797021.8534;4653321.0526;5524922.475;8620642.054;8855150.261;10217652.6823;10741510.4739;12979915.5031;13643589.9373;19135603.1406;19643073.9672;19335137.0537;21900259.2597;21977366.2166;21268418.9193;22515100.2626;21547032.9884;22274245.9016;29911592.8519;27674012.8785;29582565.4908;28923711.6289;29677560.2169;29617023.1993;37852250.5042;37978262.6819;36753157.4341;37978262.6819;36872334.7689;39070828.1658;43282931.1255;39550697.1004;43788271.7897;42375746.8933;43845880.5224;43533169.4622;44984275.1109;45134155.7872;43678215.278;45134155.7872;43811079.9401;44671733.6806;66649479.3471;60258551.5956;66714824.9808;64562733.8524;66780613.5441;66462187.5577;68677593.8096;68890051.741;66667792.0074;68890051.741;66804605.9379;69052575.3013;68667792.1924;62731029.2395;69452210.9437;67211817.0423;69520520.5597;69106651.1743;71410206.2135;71628587.1886;69317987.6019;71628587.1886;69459138.3385;71794983.8045;72422080.1692;67816012.1446;72492978.4994;70154495.322;72564358.1116;72100229.9258;74503570.9233;74729417.5956;72318791.2216;74729417.5956;72472356.3391;74909470.4458;74982436.4158;67792025.9076;75570644.4114;73132881.6885;75645029.4892;75130456.2837;77634804.8265;77877607.6814;75365426.7884;77877607.6814;75517413.5581;78056200.2129;78056200.2129;70571074.427;78132260.9727;75611865.4575;78208837.9277;77635695.2295;80223551.7372;80471492.3506;77875637.7587;80471492.3506;78032298.9088;82040888.6776;82040888.6776;74174236.4704;82121476.0922;79472396.2183;82202611.4581;81606817.9171;84327045.181;84585759.1993;81857186.3219;84585759.1993;82020922.1453;84777884.4155;84878594.8248;79480163.2836;84961553.8549;74474716.7835;76997954.6129;76344401.6974;78889215.0873;79080580.9637;76529594.481;79080580.9637;76608748.9976;79162373.9642;79162373.9642;71508159.7475;79169748.2918;76615885.4437;79177126.6023;78652793.2339;81274553.0084;81477312.3293;78849011.9316;81477312.3293;78928500.2479;81559450.2561;47177035.4752;42614945.1254;47180832.1031;45658869.7772;47184630.7816;46908212.9635;48471820.0622;48593594.307;47026059.0068;48593594.307;47097830.868;48667758.5636
receita_gnc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23122.4526;0;0;0;13815.78;15542.7525;0;15048.6188;56578.3144;234859.7204;219736.2699;152927.1564;117778.9331;122150.703;80911.7346;122507.3154;57810.9049;122565.8551;283120.0069;461971.2475;508440.3424;313412.3727;447581.4845;986428.9091;1144993.3099;1080698.9705;1283401.638;1969927.9258;1849933.8854;2051375.9941;2018083.6283;2071752.0672;2004921.3554;2086515.3022;2185578.48;2115075.9484;2195825.8062;2129870.9716;2205733.7688;2269837.7491;2654928.0546;2838026.5411;2772595.4181;3332963.6496;3249691.4421;3375203.5728;3495095.6893;3382350.6671;3503338.1234;3401088.4846;3518950.3555;3547311.9238;3694290.777;4090107.6459;3983209.4111;4119120.7512;4009828.9187;4159683.1528;4208107.4558;4072362.054;4216326.5292;4092379.1481;4232459.0831;4230894.1617;3824348.8939;4234100.561;4123591.8127;4264269.9349;4151312.8558;4306759.8099;4358578.4717;4217979.1662;4367242.6899;4238320.7639;4384183.9795;4383649.8104;3961638.0025;4386099.2171;4270771.7576;4416446.2577;4298460.6179;4458501.9827;4509000.0522;4363548.4376;4517394.9779;4383967.6678;4534553.8779;4534553.8779;4245174.417;4537945.0664;4417886.0256;4568559.8373;4446086.937;4611470.5077;4663443.6873;4513010.02;4672125.2605;4534537.634;4690322.3902;4690322.3902;4239572.56;4693812.4772;4569476.4072;4725302.7076;4598356.0326;4769173.0157;4822132.4444;4666579.7849;4830927.9266;4688172.5793;4849115.5011;4849115.5011;4383089.2625;4852705.9692;4723451.813;4884511.5942;4752748.5279;4928974.782;4982898.6632;4822159.9967;4991891.4259;4844350.7227;5010627.7921;5010627.7921;4529064.54;5014321.455;4880841.6152;5047251.5204;4911172.6812;5093324.0176;5149172.4018;4983070.0663;5158490.5799;5005994.8044;5177833.6323;5177833.6323;4847334.4531;5181633.3809;2701435.8534;2793553.8265;2712047.6118;2802449.1988;2857432.7782;2765257.5273;2857432.7782;2774488.9561;2866971.9213;2866971.9213;2589935.2247;2867428.2845;2777846.62;2870898.117;2787835.3278;2880763.1721;2939111.997;2844301.9325;2939111.997;2853573.1727;2948692.2785;1897216.9071;1713705.6505;1897316.9702;1836113.197;1897417.0874;1836210.0846;1897417.0874;1957435.4461;1894292.3672;1957435.4461;1897982.9582;1961249.0568
aluguel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10131.45;19706.25;15192.13;0;0;14971;33444;33016;0;0;14491.0689;45924;45924;45924;0;0;55743.369;92607.205;59444.4172;0;57854.745;57854.745;57854.745;57854.745;57854.745;57854.745;57854.745;57854.745;57854.745;57854.745;57854.745;60141.5797;60141.5797;60141.5797;60141.5797;60141.5797;60141.5797;60141.5797;60141.5797;60141.5797;60141.5797;60141.5797;60141.5797;62493.048;62493.048;62493.048;62493.048;62493.048;62493.048;62493.048;62493.048;62493.048;62493.048;62493.048;62493.048;64741.5652;64741.5652;64741.5652;64741.5652;64741.5652;64741.5652;64741.5652;64741.5652;64741.5652;64741.5652;64741.5652;64741.5652;67154.317;67154.317;67154.317;67154.317;67154.317;67154.317;67154.317;67154.317;67154.317;67154.317;67154.317;67154.317;69496.9575;69496.9575;69496.9575;69496.9575;69496.9575;69496.9575;69496.9575;69496.9575;69496.9575;69496.9575;69496.9575;69496.9575;71908.0966;71908.0966;71908.0966;71908.0966;71908.0966;71908.0966;71908.0966;71908.0966;71908.0966;71908.0966;71908.0966;71908.0966;74363.2537;74363.2537;74363.2537;74363.2537;74363.2537;74363.2537;74363.2537;74363.2537;74363.2537;74363.2537;74363.2537;74363.2537;76861.2714;76861.2714;76861.2714;76861.2714;76861.2714;76861.2714;76861.2714;76861.2714;76861.2714;76861.2714;76861.2714;76861.2714;79449.695;79449.695;79449.695;79449.695;79449.695;79449.695;79449.695;79449.695;79449.695;79449.695;79449.695;79449.695;82158.3761;82158.3761;82158.3761;82158.3761;82158.3761;82158.3761;82158.3761;82158.3761;82158.3761;82158.3761;82158.3761;82158.3761;85033.9192;85033.9192;85033.9192;85033.9192;85033.9192;85033.9192;85033.9192;85033.9192;85033.9192;85033.9192;85033.9192;85033.9192;88010.1064;88010.1064;88010.1064;88010.1064;88010.1064
outros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81812;0;0;0;96001.5664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
servico;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3196.4622;60353.7347;122888.413;13739.8678;729132.4246;1251737.8303;1293462.4246;1251737.8303;1293462.4246;311891;281708;311891;301830;311891;314523.3028;325007.4129;325007.4129;314523.3028;325007.4129;314523.3028;325007.4129;565379.1611;528903.0862;565379.1611;547141.1237;565379.1611;568510.9593;755288.2372;755288.2372;730924.1005;755288.2372;730924.1005;755288.2372;755288.2372;682195.8271;755288.2372;730924.1005;755288.2372;757651.2333;782906.2744;782906.2744;757651.2333;782906.2744;757651.2333;782906.2744;782906.2744;707141.1511;782906.2744;757651.2333;782906.2744;785530.9363;811715.3008;811715.3008;785530.9363;811715.3008;785530.9363;811715.3008;811715.3008;733162.2072;811715.3008;785530.9363;811715.3008;813275.0409;840384.2089;840384.2089;813275.0409;840384.2089;813275.0409;840384.2089;840384.2089;786165.8728;840384.2089;813275.0409;840384.2089;841494.7197;869544.5437;869544.5437;841494.7197;869544.5437;841494.7197;869544.5437;869544.5437;785395.0717;869544.5437;841494.7197;869544.5437;870374.4975;899386.9807;899386.9807;870374.4975;899386.9807;870374.4975;899386.9807;899386.9807;812349.531;899386.9807;870374.4975;899386.9807;899616.2345;929603.4423;929603.4423;899616.2345;929603.4423;899616.2345;929603.4423;929603.4423;839641.8189;929603.4423;899616.2345;929603.4423;929916.3819;960913.5946;960913.5946;929916.3819;960913.5946;929916.3819;960913.5946;960913.5946;898919.1692;960913.5946;929916.3819;960913.5946;960220.6429;992227.9976;992227.9976;960220.6429;992227.9976;960220.6429;992227.9976;992227.9976;896205.9334;992227.9976;960220.6429;992227.9976;993828.3654;1026955.9776;1026955.9776;674064.9059;696533.7361;674064.9059;696533.7361;696533.7361;629127.2455;696533.7361;674064.9059;696533.7361;697657.1776;720912.4169;720912.4169;697657.1776;720912.4169;697657.1776;720912.4169
custos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-77459.16;-97994.09;-333855.9041;-485796.0542;-586146.7539;-1998550.78;-1304274.84;-1172733.95;-893028.7092;-1206146.0973;-2130641.0309;-2992977.2368;-2748320.579;-2891728.3355;-3259804.5598;-3171401.0719;-1468322.0435;-4847848.7679;-2686603.5464;-4540997.7582;-5245090.9931;-5528820.8021;-6286258.1707;-6957705.1605;-6972371.4574;-8502728.8373;-7837420.2931;-10183479.5918;-11412766.4033;-10835893.0886;-12676724.9125;-12947487.9298;-16949463.3787;-17335787.0094;-16646406.4321;-18690870.2791;-18645752.8839;-18201757.7281;-18972776.2822;-18645667.6761;-19105619.2841;-24914020.3646;-23486276.428;-24686436.457;-24378286.6373;-25574598.114;-24607044.5728;-31451529.6293;-31322026.7403;-30587817.7244;-31386724.3317;-31095968.1172;-32661527.6513;-36056470.1958;-33911027.2177;-36572302.1481;-35730139.3875;-36946017.471;-35884470.8098;-37137366.3959;-37343496.015;-36464674.2911;-37284884.4601;-37674403.8567;-37518993.8038;-54827153.3681;-50291756.2736;-54241680.9844;-53002030.9479;-54653734.5443;-53201573.4853;-55146562.8518;-55617091.2007;-54272187.3735;-55626181.0337;-54677342.1589;-56267069.4497;-55734044.5977;-52103363.4579;-56202931.0539;-54915839.0682;-56629670.0241;-55119253.6674;-57102508.6783;-57588498.914;-56216969.2868;-57621528.4873;-56624993.1375;-58273367.1378;-58465968.939;-55695268.3578;-58546603.8842;-57205886.9372;-58988405.063;-57420784.3775;-59479952.9283;-59982352.9401;-58587246.0347;-60016191.0689;-58984948.1366;-60733223.7016;-60490375.6916;-56098021.8752;-60971592.7095;-59543467.5929;-61394855.8743;-59802626.35;-61903967.9954;-62423126.169;-60972503.5278;-62457792.6465;-61372127.979;-63186816.5165;-62856462.4829;-58362598.2876;-62977518.4766;-61502985.8308;-63414692.9866;-61765807.2308;-63924752.1827;-64460269.1154;-62962412.7085;-64535457.507;-63373510.998;-66192029.6072;-65850744.117;-61139843.3442;-65977481.962;-64430730.264;-66431111.5765;-64719757.6667;-66981861.4174;-67536544.5328;-65964766.1593;-67572929.0373;-66391849.8826;-68351001.4392;-67992983.9509;-64778076.1831;-68094204.5556;-58082306.2406;-59594599.1502;-58297369.8054;-60315319.8078;-60747898.3227;-59294548.7151;-60755375.7492;-59459664.9788;-60923552.242;-60870165.119;-56434936.7438;-60885889.6784;-59469523.1812;-60974971.1605;-59671543.0765;-61773064.038;-62184551.9918;-60608658.9302;-62098454.4456;-60776818.5293;-62269691.5162;-37007149.7695;-34305336.7384;-37017911.6639;-36182534.3443;-37104554.9353;-36117077.9709;-37420766.9193;-37772457.4613;-36880867.3938;-37779095.7369;-37037827.0492;-37938672.2176
resultado_operacional;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-101115.17;-138121.77;-345470.9315;280599.5178;1842974.2641;-488133.4309;-1115477.9253;-1097998.4865;-1303387.1202;-822069.6657;-1617229.5526;-1899170.1431;-1791967.2695;-1851559.016;-1854426.8155;-2192743.204;-1871662.146;-3053112.2163;-2067259.8259;-2660034.1329;-2503695.1997;-2013199.8456;-735116.787;-1412833.6565;-1632348.9173;-1386253.4443;2499279.3548;498415.0898;619596.4063;1547202.1292;1973669.2941;2400955.8196;3862015.2084;3343266.843;4334762.0978;4408744.5209;5347742.3954;4808375.7353;5289982.4822;4851302.7565;4995905.0081;6125448.9069;6877110.7612;7611650.0289;7196359.9792;6597607.2446;8124718.2367;9268403.9759;10393285.0218;9564447.5241;10047442.9294;9395044.3906;9953197.7562;9756414.5845;9502821.6405;11347198.5717;10665387.7016;10316891.5052;11685837.4535;11481697.0886;12249980.2857;11303841.8645;12017067.8218;10455013.248;11411639.6011;15000055.1318;13966592.1501;16750438.4222;15722756.2398;15664532.1755;17440992.2312;17294088.0827;17892269.3915;16632540.7358;17581192.9357;16600130.5578;17197468.2525;16226282.9746;14771481.0699;17680520.4072;16606976.194;16554613.81;18315196.2863;18204607.5715;18819515.1514;17484861.2386;18473517.5862;17461430.5254;18085612.601;17362631.8774;16582126.6923;18531723.3356;17408791.8534;17366581.1291;19156085.0525;19054815.7841;19690663.6424;18266019.3059;19333166.7946;18274051.312;18897507.913;18016308.6285;16129582.4199;19342378.1021;18203109.1537;18171462.3598;19957954.6987;19900777.9891;20566775.9826;19082236.802;20197362.2405;19094607.701;19751044.1658;18844036.2705;16794689.978;20059194.7051;18878586.7534;18848104.3556;20655410.7487;20609245.1631;21294378.3836;19759349.3296;20873272.1351;19773407.9109;20893601.7092;19956580.8083;17773752.5279;21212267.0759;19970771.7409;19961209.1074;21832660.718;21799965.0021;22509115.6408;20900746.1128;22115365.5247;20914798.4268;21640475.036;20778492.2929;19798155.7007;22105235.7769;19279988.8;20322335.2609;20936757.0857;20857579.702;21658462.7086;20166871.2095;21312624.1689;20359912.9096;21290263.1882;19973102.6649;18035483.4535;21349862.169;20116696.0711;21202863.4134;21955155.3976;21846132.0362;22716944.625;20937770.2767;22122602.0106;21137436.1101;22099443.5116;10510331.018;10110557.596;11935821.5824;11192376.1843;11781942.6676;12489461.0119;12052502.4884;12938979.4053;11887955.94;12570264.8187;12095138.6514;12546968.2273
