categoria;planta;2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06;2026-07;2026-08;2026-09;2026-10;2026-11;2026-12;2027-01;2027-02;2027-03;2027-04;2027-05;2027-06;2027-07;2027-08;2027-09;2027-10;2027-11;2027-12;2028-01;2028-02;2028-03;2028-04;2028-05;2028-06;2028-07;2028-08;2028-09;2028-10;2028-11;2028-12;2029-01;2029-02;2029-03;2029-04;2029-05;2029-06;2029-07;2029-08;2029-09;2029-10;2029-11;2029-12;2030-01;2030-02;2030-03;2030-04;2030-05;2030-06;2030-07;2030-08;2030-09;2030-10;2030-11;2030-12;2031-01;2031-02;2031-03;2031-04;2031-05;2031-06;2031-07;2031-08;2031-09;2031-10;2031-11;2031-12;2032-01;2032-02;2032-03;2032-04;2032-05;2032-06;2032-07;2032-08;2032-09;2032-10;2032-11;2032-12;2033-01;2033-02;2033-03;2033-04;2033-05;2033-06;2033-07;2033-08;2033-09;2033-10;2033-11;2033-12;2034-01;2034-02;2034-03;2034-04;2034-05;2034-06;2034-07;2034-08;2034-09;2034-10;2034-11;2034-12;2035-01;2035-02;2035-03;2035-04;2035-05;2035-06;2035-07;2035-08;2035-09;2035-10;2035-11;2035-12;2036-01;2036-02;2036-03;2036-04;2036-05;2036-06;2036-07;2036-08;2036-09;2036-10;2036-11;2036-12;2037-01;2037-02;2037-03;2037-04;2037-05;2037-06;2037-07;2037-08;2037-09;2037-10;2037-11;2037-12;2038-01;2038-02;2038-03;2038-04;2038-05;2038-06;2038-07;2038-08;2038-09;2038-10;2038-11;2038-12
liquefacao;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77459.16;91140;53102.0334;57192.3342;161358.0639;359824.08;372091.0;592290.86;152502.3978;429577.1966;540502.3014;353012.9533;611099.8066;375660.1819;524509.4573;471270.8799;-192018.9669;710727.6509;365369.5688;199496.9153;341449.2987;532839.1626;425738.3382;594663.1723;739858.5323;700558.2305;562625.9974;698548.3158;807374.1579;667167.4421;648458.0632;686061.1263;837525.7895;956915.3158;837525.7895;871799.4417;867645.2859;857981.9154;867645.2859;858533.2181;973701.4423;885499.8209;834787.084;866216.0752;857954.8484;962266.8312;845646.7234;880320.7708;876007.598;866775.9456;876007.598;866954.9807;985716.9968;880505.7736;835540.222;880505.7736;862641.8079;990030.1695;862641.8079;896983.0127;892515.4864;883432.2198;892515.4864;883615.4381;1006148.7072;945669.869;895838.3326;945669.869;926081.006;1059113.7641;926081.006;979888.9578;975258.8568;964223.6135;975258.8568;964414.4535;1093028.2136;980086.1592;928440.9413;980086.1592;959784.3525;1097658.3146;959784.3525;1013691.3973;1008901.6379;997485.4429;1008901.6379;997670.7736;1130719.5059;1013882.9057;976668.8822;1013882.9057;992881.0143;1135509.2653;992881.0143;1048320.4197;1043367.0479;1031560.8076;1043367.0479;1031752.9381;1169346.5539;1048518.9545;993267.5333;1048518.9545;1026799.5662;1174299.9257;1026799.5662;1083662.5754;1078542.2364;1066337.8533;1078542.2364;1066532.0114;1208763.6354;1083863.2054;1026749.2844;1083863.2054;1061411.6724;1213883.9744;1061411.6724;1119525.7653;1114235.9936;1101627.6157;1114235.9936;1101826.6147;1248764.7985;1119731.3976;1060727.2773;1119731.3976;1096536.843;1254054.5702;1096536.843;1156665.43;1151200.1849;1138173.4779;1151200.1849;1138379.6775;1290192.227;1156878.5028;1114415.607;1156878.5028;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
liquefacao;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55456.7;53799.96;52751.03;213340.21;0;479015.6249;296261.7897;449310.1716;712481.7055;546046.5889;544117.0493;-202109.1285;558760.7655;486881.1125;449474.9934;592417.4879;384563.9647;115226.7777;482138.6996;640212.0915;662543.8918;842065.5657;819721.2378;944024.9595;676314.1443;843242.1597;891955.5339;1084130.9813;1221103.774;1080022.491;1152624.7387;1155742.6418;1133505.4991;1155742.6418;1127847.7702;1271405.3774;1156020.8082;1112166.5547;1161591.08;1136099.9132;1286990.2806;1139864.5696;1181545.283;1183620.2846;1161059.7663;1183620.2846;1162016.0363;1310768.7335;1186225.87;1127721.8257;1203655.5055;1177265.9857;1330948.3818;1178362.0241;1220381.0263;1219846.6942;1196676.5958;1219846.6942;1197878.1456;1351763.4396;1296429.9702;1214020.5426;1297593.9248;1268619.2491;1429441.6658;1269754.0205;1340568.0688;1340013.0822;1313555.4367;1340013.0822;1314707.115;1476633.6049;1342939.4377;1257589.0563;1344138.3344;1314131.0498;1480776.5783;1315299.8776;1386397.799;1385818.3836;1358461.3736;1385818.3836;1359647.5968;1527144.609;1388840.3073;1329813.9068;1390075.1552;1359046.4511;1531419.6133;1360250.3188;1433387.524;1432783.2203;1404503.7619;1432783.2203;1405821.7569;1579031.2749;1436002.6629;1344751.7238;1437275.0948;1405195.6282;1583443.0695;1406436.1265;1481487.8852;1480859.0896;1451633.4927;1480859.0896;1452892.4113;1631929.8889;1484080.0993;1389780.5869;1485390.601;1452240.5115;1636480.7069;1453518.1141;1530275.6607;1529621.9423;1499436.975;1529621.9423;1500733.5287;1685687.5364;1532945.3787;1435545.2193;1534295.047;1500055.9948;1690380.5039;1501371.7705;1580772.7649;1580092.9705;1548915.408;1580092.9705;1550250.6805;1741331.1717;1583522.2189;1516229.9626;1584912.1814;1549546.3386;1656598.3003;1550163.6924;1631072.4021;1629053.9309;1596938.1785;1629053.9309;1597032.4756;1702501.1488;1631267.2302;1526535.1655;1631364.7232;1595010.9646;1704812.0463;1595105.3636;1681441.9929;1679350.8393;1646316.5861;1679350.8393;1646411.0871;1755325.2252;1321786.1844;1248777.799;1321824.4207;1296016.3788;1397739.4126;1296053.4017;1364960.296;1362734.4175;1340641.8302;1362734.4175;1340678.8931;1441263.4638
liquefacao;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2137;990.86;495273.6972;396560.3158;598660.3565;664282.3194;524459.7183;657811.5743;668794.1603;675249.4396;868999.5747;900565.9424;835715.9626;1025507.4398;852933.2466;899517.1581;911238.3389;831271.1022;1115998.6683;1102863.7669;1090478.8948;1115238.6337;1158544.2655;1174513.4659;1403994.018;1313424.4975;1387012.5651;1399029.8613;1444419.6669;1345304.024;1403123.3946;1392532.3939;1371691.1159;1392532.3939;1431639.8151;1458758.9475;1408449.0191;1302564.9789;1408746.0994;1422235.0172;1468349.3051;1366451.2683;1424179.6268;1413307.8914;1392658.1444;1413307.8914;1454863.4537;1466982.0031;1524599.6183;1408558.9939;1524902.0823;1536753.0174;1586633.0328;1478967.8828;1574829.6254;1563556.8369;1538967.9547;1563556.8369;1603292.6266;1631491.8631;1571966.3494;1458318.8793;1578735.2268;1591070.9226;1642707.1632;1531177.7195;1627778.137;1616111.7858;1590718.9063;1616111.7858;1657224.6259;1686351.1199;1632466.327;1545770.0105;1632781.9152;1645555.6354;1698956.6947;1583594.1715;1683039.3463;1670971.5049;1644722.3553;1670971.5049;1713593.003;1743706.4086;1687980.9754;1559544.1521;1688304.2891;1701522.4576;1756736.4656;1637441.5079;1739593.4534;1727115.9195;1699987.7864;1727115.9195;1771064.9413;1802183.7536;1744579.9395;1611840.0492;1744911.1678;1758584.6373;1815647.0578;1692340.7734;1796960.8205;1784067.6196;1756048.2255;1784067.6196;1829469.8632;1861611.7396;1802101.808;1664986.946;1802441.1447;1816573.8244;1875514.8423;1748135.1827;1856342.816;1843019.0399;1814077.6015;1843019.0399;1889926.4929;1923126.8887;1861642.8811;1762775.8338;1861990.5247;1876599.8094;1862292.1301;1805843.4991;1916334.3206;1902333.4027;1872466.9883;1902333.4027;1949748.25;1906395.9364;1920501.6628;1774183.0641;1920608.7222;1935746.1294;1920715.8393;1862500.0136;1980049.7143;1965565.2095;1934744.2308;1965565.2095;2014569.5956;1969645.4603;1956675.1738;1808203.3431;1956769.7243;1973396.5457;1956864.3258;1897611.3606;2018242.2994;2003242.5774;1972328.7562;2003242.5774;2054306.7747;2006846.0903
liquefacao;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
liquefacao;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
liquefacao;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
compressao;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
compressao;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
compressao;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20770.7787;20770.7787;20770.7787;20770.7787;20770.7787;20770.7787;20770.7787;20770.7787;20770.7787;20770.7787;20770.7787;21565.8638;21565.8638;21565.8638;21565.8638;21565.8638;21565.8638;21565.8638;21565.8638;21565.8638;21565.8638;21565.8638;21565.8638;22337.6315;22337.6315;22337.6315;22337.6315;22337.6315;22337.6315;22337.6315;22337.6315;22337.6315;22337.6315;22337.6315;22337.6315;23150.5051;23150.5051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
compressao;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
