planta;produto;2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06;2026-07;2026-08;2026-09;2026-10;2026-11;2026-12;2027-01;2027-02;2027-03;2027-04;2027-05;2027-06;2027-07;2027-08;2027-09;2027-10;2027-11;2027-12;2028-01;2028-02;2028-03;2028-04;2028-05;2028-06;2028-07;2028-08;2028-09;2028-10;2028-11;2028-12;2029-01;2029-02;2029-03;2029-04;2029-05;2029-06;2029-07;2029-08;2029-09;2029-10;2029-11;2029-12;2030-01;2030-02;2030-03;2030-04;2030-05;2030-06;2030-07;2030-08;2030-09;2030-10;2030-11;2030-12;2031-01;2031-02;2031-03;2031-04;2031-05;2031-06;2031-07;2031-08;2031-09;2031-10;2031-11;2031-12;2032-01;2032-02;2032-03;2032-04;2032-05;2032-06;2032-07;2032-08;2032-09;2032-10;2032-11;2032-12;2033-01;2033-02;2033-03;2033-04;2033-05;2033-06;2033-07;2033-08;2033-09;2033-10;2033-11;2033-12;2034-01;2034-02;2034-03;2034-04;2034-05;2034-06;2034-07;2034-08;2034-09;2034-10;2034-11;2034-12;2035-01;2035-02;2035-03;2035-04;2035-05;2035-06;2035-07;2035-08;2035-09;2035-10;2035-11;2035-12;2036-01;2036-02;2036-03;2036-04;2036-05;2036-06;2036-07;2036-08;2036-09;2036-10;2036-11;2036-12;2037-01;2037-02;2037-03;2037-04;2037-05;2037-06;2037-07;2037-08;2037-09;2037-10;2037-11;2037-12;2038-01;2038-02;2038-03;2038-04;2038-05;2038-06;2038-07;2038-08;2038-09;2038-10;2038-11;2038-12
1;GNC;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23122.4526;0.0;0.0;0.0;13815.78;15542.7525;0.0;15048.6188;56578.3144;234859.7204;219736.2699;152927.1564;117778.9331;122150.703;80911.7346;122507.3154;57810.9049;99462.9951;149528.2429;112541.3807;68028.8;124481.8154;171863.1;636800.0;785777.2042;760429.5525;850176.8842;1315114.9684;1187845.7779;1315114.9684;1301179.3769;1344552.0228;1301179.3769;1360715.9118;1360715.9118;1316821.8502;1369910.095;1325719.4468;1374777.1931;1374777.1931;1489502.9673;1592227.3098;1564799.0527;1834409.1378;1791672.7271;1868085.7345;1868085.7345;1807824.9043;1876328.1685;1815801.4534;1880701.9512;1880701.9512;1698698.5366;1880701.9512;1842745.2511;1904170.0928;1858735.9989;1936887.1357;1936887.1357;1874406.9055;1945106.2091;1882360.8475;1949510.6888;1949510.6888;1760848.3641;1949510.6888;1910272.5361;1973948.2873;1926952.8625;2008254.4835;2008254.4835;1943472.0808;2016918.7017;1951856.8081;2021504.5585;2021504.5585;1825875.0851;2021504.5585;1980020.6355;2046021.3233;1996619.8339;2079933.1725;2079933.1725;2012838.554;2088328.0982;2020962.6757;2092782.0526;2092782.0526;1957763.8557;2092782.0526;2049150.0215;2117455.0222;2066033.7542;2152082.2188;2152082.2188;2082660.2117;2160763.7919;2091061.7341;2165397.2937;2165397.2937;1955842.7169;2165397.2937;2120103.9239;2190774.0547;2137382.5915;2226167.1266;2226167.1266;2154355.2838;2234962.6088;2162867.0407;2239633.1113;2239633.1113;2022894.4231;2239633.1113;2192133.2425;2265204.3506;2209628.469;2301084.0544;2301084.0544;2226855.5365;2310076.8171;2235558.2101;2314875.5291;2314875.5291;2090855.3166;2314875.5291;2265844.3141;2341372.4579;2283972.7838;2378550.7903;2378550.7903;2301823.3455;2387868.9684;2310840.9371;2392841.3028;2392841.3028;2238464.4445;2392841.3028;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;GNL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;684918.15;2093995.33;1606174.9391;292690.9747;217464.951;144667.514;604892.9728;285555.4383;432898.0367;538486.9906;365984.3439;964896.7388;664464.3417;-39595.0197;1406682.4077;133966.9468;326752.639;216639.958;875415.626;2953129.2378;3093447.0535;2536061.657;2973600.0;3513710.5;3400365.0;3718310.5;3869658.4853;3821095.4061;4649871.1182;4999663.2757;5166318.7182;5060063.5136;5228732.2973;5242701.2014;5073581.8078;5242701.2014;5073581.8078;5251679.6817;5547800.1707;5189877.5791;5547800.1707;5664261.3191;5853070.0298;6056065.1051;6257933.942;6272297.6538;6069965.4714;6272297.6538;6069965.4714;6292468.7703;6292468.7703;5683520.1796;6292468.7703;6089485.9068;6292468.7703;6279038.7902;6488340.0832;6502074.9291;6292330.5765;6502074.9291;6292330.5765;6522387.6153;6522387.6153;5891188.8138;6522387.6153;6311988.0148;6522387.6153;6509715.1008;6726705.6041;6741443.6599;6523977.7354;6741443.6599;6523977.7354;6762592.8253;6762592.8253;6108148.3583;6762592.8253;6544444.6697;6762592.8253;6741210.071;6965917.0734;6980226.8621;6755058.2537;6980226.8621;6755058.2537;7000767.7169;7000767.7169;6549105.2835;7000767.7169;6774936.5002;7000767.7169;6975074.7464;7207577.238;7222305.4433;6989327.8484;7222305.4433;6989327.8484;7243674.3388;7243674.3388;6542673.5963;7243674.3388;7010007.4246;7243674.3388;7214827.1929;7455321.4327;7470318.517;7229340.5003;7470318.517;7229340.5003;7491858.0532;7491858.0532;6766839.5319;7491858.0532;7250185.2127;7491858.0532;7457572.0508;7706157.7858;7721416.6807;7472338.7232;7721416.6807;7472338.7232;7743547.4963;7743547.4963;6994171.9322;7743547.4963;7493755.6416;7743547.4963;7708648.8869;7965603.8497;7981414.9799;7723949.9805;7981414.9799;7723949.9805;8004346.5119;8004346.5119;7487937.0595;8004346.5119;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;GNC;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;213104.7605;371012.5439;53653.1292;53517.7072;131981.7271;96600.0;92400.0;96600.0;173600.0;235200.0;260400.0;252000.0;260400.0;252000.0;260400.0;360923.8355;349281.1312;360923.8355;349281.1312;360923.8355;360923.8355;666138.0322;712078.5861;689108.3092;961952.7407;938726.6784;970017.5677;1083626.2998;1048670.6127;1083626.2998;1051013.4365;1086047.2177;1086047.2177;1470598.2044;1628162.2977;1575640.9333;1630619.3488;1585611.0073;1638464.7076;1680598.5435;1626385.6873;1680598.5435;1628992.3794;1683292.1254;1683292.1254;1522663.0757;1685805.5481;1631424.7239;1688337.6331;1641794.8179;1696521.3119;1741627.4236;1685445.8938;1741627.4236;1687932.8074;1744197.2343;1744197.2343;1577742.2932;1746786.1103;1690438.1713;1749394.1877;1700843.2874;1757538.0636;1801484.1159;1743371.725;1801484.1159;1745933.2341;1804131.0085;1804131.0085;1690229.9352;1806797.5169;1748513.726;1809483.781;1759129.6013;1817767.2547;1863000.204;1802903.4233;1863000.204;1805749.478;1865941.1273;1865941.1273;1687847.943;1868688.7941;1808408.5104;1871456.7941;1819290.997;1879934.0302;1926025.6685;1863895.8082;1926025.6685;1866614.2945;1928834.771;1928834.771;1744729.3565;1931664.6447;1869352.882;1934515.4378;1880418.3114;1943098.9217;1990029.905;1925835.3919;1990029.905;1928635.1466;1992922.9848;1992922.9848;1802691.876;1995837.4342;1931455.5815;1998773.4053;1942904.1002;2007667.5702;2056278.8837;1989947.3068;2056278.8837;1992830.6702;2059258.3592;2059258.3592;1929210.7987;2062259.8193;1995735.309;2063637.3588;2005676.8366;2072532.7312;2120517.7529;2052113.9544;2120517.7529;2052317.5779;2120728.1638;2120728.1638;1915686.5572;2120938.6883;2052521.3113;2121149.3266;2062271.9823;2131014.3817;2181942.9107;2111557.6555;2181942.9107;2111761.7192;2182153.7765;1499797.1192;1354655.4625;1499797.1192;1451416.567;1499797.1192;1451416.567;1499797.1192;1552290.0184;1502216.1468;1552290.0184;1502216.1468;1552290.0184
2;GNL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;139686.162;462148.368;0.0;0.0;0.0;0.0;0.0;528734.2657;644859.0415;406923.2721;800954.7191;708872.68;452439.5243;-58415.8174;970371.6786;788335.0688;1173392.3612;1662079.2527;1545687.9324;1274867.0224;1845018.4946;672768.5972;788811.9;3066002.004;2856272.4118;2772191.8438;4493159.9028;5259869.9126;5823427.4032;7290727.0609;7310037.8781;7183291.9648;8452685.2214;8537145.1673;8261753.3877;8537145.1673;8033274.9654;8301050.7976;8612447.4983;7849067.3498;8390382.3394;8119724.8446;8243166.1376;8121683.1057;8392405.8759;8436230.6781;8164094.2047;8436230.6781;8195308.0461;8468484.981;8468484.981;7678303.7304;8500979.1301;8226753.9969;8533714.8414;8398929.0152;8678893.3157;8725620.7868;8444149.1485;8725620.7868;8478878.5533;8761507.8384;8991064.1607;8151299.905;9024653.4663;8733535.6125;9058492.1747;8888245.5317;9184520.3828;9267168.2478;8968227.3366;9267168.2478;9001462.376;9301511.1219;9301511.1219;8432614.3852;9336108.7836;9034943.9841;9370963.0528;9190043.5141;9496378.2979;9578637.9525;9269649.6314;9578637.9525;9303881.5619;9614010.9473;9614010.9473;9027088.2738;9649646.0857;9338367.1797;9685545.2389;9496558.3388;9813110.2834;9897800.8521;9578516.9536;9897800.8521;9616551.5446;9937103.2628;10010069.2328;9074519.0696;10046788.9699;9722699.0031;10083780.4399;9876442.3016;10205657.045;10303452.5981;9971083.1594;10303452.5981;10007412.9294;10340993.3604;10340993.3604;9374410.5759;10378811.709;10044011.3313;10416909.6222;10200303.6238;10540313.7446;10640280.3325;10297045.483;10640280.3325;10334461.3209;10678943.3649;10678943.3649;9680676.6268;10717891.9797;10372153.5287;10757128.2106;10533869.9704;10884998.9694;10988340.8843;10633878.2751;10988340.8843;10672411.457;11028158.5056;11128868.9149;10448400.9622;11168980.3389;10808690.6505;11187389.7364;10939260.6691;11303902.6914;11388827.9695;11021446.4221;11388827.9695;11024167.6399;11391639.8946;11391639.8946;10291764.3056;11394453.3384;11026890.3275;11397268.3017;11154660.301;11526482.311;11616472.1644;11241747.2559;11616472.1644;11244474.3573;11619290.1692;7511021.5272;6785865.1702;7512922.1527;7270569.8252;7514823.8048;7401832.5527;7648560.3045;7656445.7147;7409463.5948;7656445.7147;7411305.8917;7658349.4215
3;GNC;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23102.86;133591.764;136325.1063;69398.9985;135277.428;222200.6773;217647.182;262616.1057;227869.4181;336624.7538;481212.9574;426888.1075;475861.0256;464904.2515;466800.0444;451741.9785;465399.3904;463938.7327;448972.9671;464991.8756;454870.3937;470032.7401;534136.7205;499287.0552;533720.6452;518688.0563;536601.7711;519292.0366;537100.2706;543383.6551;525855.1501;543383.6551;534273.5947;552201.1866;580562.755;524994.036;581243.397;564823.2267;584331.3096;565481.9125;584331.3096;590621.7766;571569.4612;590621.7766;581025.9211;599656.2689;598091.3475;540837.4541;598784.3242;581894.5527;601984.0145;582565.1753;601984.0145;608696.5646;589061.1916;608696.5646;598531.1484;618482.1867;617948.0176;558020.6243;617808.5483;600312.9508;621030.7466;600997.4967;621030.7466;627582.7639;607338.1586;627582.7639;617071.7581;637640.8167;637640.8167;597180.6261;638365.4969;620222.2781;641621.0342;620923.5815;641621.0342;648361.2645;627446.385;648361.2645;637726.4219;658983.9693;658983.9693;595881.9001;659726.3894;640963.973;663071.8589;641682.4441;663071.8589;669939.6494;648328.693;669939.6494;658691.244;680647.6188;680647.6188;615465.4829;681408.2133;661965.6884;684791.8058;662701.7476;684791.8058;691784.7038;669469.0682;691784.7038;680157.366;702829.2782;702829.2782;635517.3474;703608.4918;683541.7196;707105.6571;684295.7972;707105.6571;714342.7278;691299.414;714342.7278;702323.1971;725733.9703;725733.9703;679659.2099;726532.2588;705700.5444;729916.4676;706370.7751;729916.4676;736915.0253;713143.5729;736915.0253;722171.3783;746243.7576;746243.7576;674248.6675;746489.5962;725325.3087;749748.7904;725563.3455;749748.7904;757169.0863;732744.277;757169.0863;741811.4535;766538.5019;397419.7879;359050.188;397519.851;384696.63;397619.9682;384793.5176;397619.9682;405145.4278;392076.2204;405145.4278;395766.8114;408959.0385
3;GNL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1025610.47;1092358.1934;1226215.7568;1310316.6567;858556.3052;1444490.7984;1762510.575;2040929.55;2598512.8491;3727150.3385;2378692.0858;3898950.1844;3170291.4159;3858040.2996;3361529.1001;3294500.81;4209422.1869;4213445.981;4077528.3687;4751180.027;4632665.5985;4787087.7851;6956606.2307;6504397.4346;6952976.568;6728687.0013;6958421.062;6839916.0141;7072261.9103;7126383.2126;6896499.8831;7126383.2126;6969938.786;7367311.9211;7260948.6585;6563326.1909;7266539.7114;7032135.2045;7272130.7642;7126748.9799;7364307.2792;7434300.3674;7194484.2266;7434300.3674;7272163.1914;6894540.354;7499501.8164;6778885.0757;7505194.191;7263091.1525;7510886.5655;7348579.8912;7593532.5542;7682152.1748;7434340.8143;7682152.1748;7512130.648;7762535.003;7377751.8941;6990620.1189;7739615.1316;7489950.1274;7745410.9876;7567346.2429;7819591.1176;7913538.0668;7658262.6453;7913538.0668;7738015.8333;7995949.6945;7995949.6945;7485636.6294;8001887.4315;7743762.0304;8007825.1685;7822525.9874;8083276.8537;8179943.2121;7916074.0762;8179943.2121;8000304.5509;8266981.3693;8266981.3693;7472445.3192;8273064.4606;8006191.4135;8279147.5519;8086804.0265;8356364.1608;8454832.2202;8182095.6969;8454832.2202;8267002.2599;8542569.0019;8542569.0019;7721497.6826;8548801.0057;8273033.2313;8555033.0095;8354726.5143;8633217.3981;8733447.1742;8451723.0718;8733447.1742;8539298.6721;8823941.9611;8823941.9611;7975778.7948;8830326.5228;8545477.2801;8836711.0844;8630056.8119;8917725.3723;9021509.5835;8730493.1453;9021509.5835;8820817.5766;9114844.8292;9114844.8292;8532909.1875;9121385.6832;8827147.4354;9127060.337;8911050.6034;9208085.6235;9311982.389;9011595.8603;9311982.389;9085566.0558;9388418.2577;9388418.2577;8481681.0221;9390432.5602;9087515.3808;9392447.9506;9176424.9557;9482305.7876;9592525.9222;9283089.6021;9592525.9222;9357382.3881;9669295.1343;8851643.509;7996745.3651;8853539.5114;8567941.4626;8855436.5377;8642309.3742;8930386.3533;9044275.1879;8752524.3754;9044275.1879;8822453.9397;9116535.7377
4;GNC;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;GNL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;GNC;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;GNL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7243644.5025;7243644.5025;7009978.5508;7243644.5025;7009978.5508;7243644.5025;10445446.3398;9434596.694;10445446.3398;10108496.4579;10445446.3398;10478125.9821;10827396.8482;10827396.8482;10478125.9821;10827396.8482;10478125.9821;10827396.8482;28163287.4903;25437808.0557;28163287.4903;27254794.3454;28163287.4903;28257703.7818;29199627.2412;29199627.2412;28257703.7818;29199627.2412;28257703.7818;29199627.2412;29199627.2412;26373856.863;29199627.2412;28257703.7818;29199627.2412;29255735.3708;30230926.5498;30230926.5498;29255735.3708;30230926.5498;29255735.3708;30230926.5498;30230926.5498;28280544.1917;30230926.5498;29255735.3708;30230926.5498;30270874.6711;31279903.8268;31279903.8268;30270874.6711;31279903.8268;30270874.6711;31279903.8268;31279903.8268;28252816.3597;31279903.8268;30270874.6711;31279903.8268;31309759.5431;32353418.1945;32353418.1945;31309759.5431;32353418.1945;31309759.5431;32353418.1945;32353418.1945;29222442.2402;32353418.1945;31309759.5431;32353418.1945;32361665.0817;33440387.2511;33440387.2511;32361665.0817;33440387.2511;32361665.0817;33440387.2511;33440387.2511;30204220.7429;33440387.2511;32361665.0817;33440387.2511;33451644.5471;34566699.3653;34566699.3653;33451644.5471;34566699.3653;33451644.5471;34566699.3653;34566699.3653;32336589.7288;34566699.3653;33451644.5471;34566699.3653;34541771.989;35693164.3886;35693164.3886;34541771.989;35693164.3886;34541771.989;35693164.3886;35693164.3886;32238987.1897;35693164.3886;34541771.989;35693164.3886;35750734.0086;36942425.1422;36942425.1422;35750734.0086;36942425.1422;35750734.0086;36942425.1422;30814370.4391;27832334.5901;30814370.4391;29820358.4894;30814370.4391;30864071.0365;31892873.4044;31892873.4044;30864071.0365;31892873.4044;30864071.0365;31892873.4044
