planta;produto;2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06;2026-07;2026-08;2026-09;2026-10;2026-11;2026-12;2027-01;2027-02;2027-03;2027-04;2027-05;2027-06;2027-07;2027-08;2027-09;2027-10;2027-11;2027-12;2028-01;2028-02;2028-03;2028-04;2028-05;2028-06;2028-07;2028-08;2028-09;2028-10;2028-11;2028-12;2029-01;2029-02;2029-03;2029-04;2029-05;2029-06;2029-07;2029-08;2029-09;2029-10;2029-11;2029-12;2030-01;2030-02;2030-03;2030-04;2030-05;2030-06;2030-07;2030-08;2030-09;2030-10;2030-11;2030-12;2031-01;2031-02;2031-03;2031-04;2031-05;2031-06;2031-07;2031-08;2031-09;2031-10;2031-11;2031-12;2032-01;2032-02;2032-03;2032-04;2032-05;2032-06;2032-07;2032-08;2032-09;2032-10;2032-11;2032-12;2033-01;2033-02;2033-03;2033-04;2033-05;2033-06;2033-07;2033-08;2033-09;2033-10;2033-11;2033-12;2034-01;2034-02;2034-03;2034-04;2034-05;2034-06;2034-07;2034-08;2034-09;2034-10;2034-11;2034-12;2035-01;2035-02;2035-03;2035-04;2035-05;2035-06;2035-07;2035-08;2035-09;2035-10;2035-11;2035-12;2036-01;2036-02;2036-03;2036-04;2036-05;2036-06;2036-07;2036-08;2036-09;2036-10;2036-11;2036-12;2037-01;2037-02;2037-03;2037-04;2037-05;2037-06;2037-07;2037-08;2037-09;2037-10;2037-11;2037-12;2038-01;2038-02;2038-03;2038-04;2038-05;2038-06;2038-07;2038-08;2038-09;2038-10;2038-11;2038-12
1;GNC;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;217.1;0.0;0.0;0.0;184.533333;207.6;0.0;201.0;755.7;3240.776452;2616.150333;1592.161667;1186.669355;1230.716667;815.217742;1234.309677;644.875;1002.129032;1599.25;1076.759355;708.633333;1263.734194;1824.580645;6800.0;8000.0;8000.0;8464.516129;13300.0;13300.0;13300.0;13300.0;13300.0;13300.0;13300.0;13300.0;13300.0;13300.0;13300.0;13300.0;13300.0;15398.0;15398.0;15398.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;GNL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4128.5;12622.033333;10507.253;3145.155;2336.802333;1555.564667;5515.785;2564.8;3762.774839;4837.653667;3776.749;9449.050645;6507.55;-252.233871;13494.061613;1594.601429;2739.903226;1877.133333;7340.580645;25588.157333;25939.225806;21265.516129;25775.0;29500.0;29500.0;31500.0;31500.0;34500.0;37500.0;41500.0;41500.0;41500.0;41500.0;41500.0;41500.0;41500.0;41500.0;41500.0;45500.0;45500.0;45500.0;48500.0;48500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;50500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;GNC;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3533.821429;0.0;0.0;4748.988327;6997.863708;454.081613;13370.516129;24425.0;24112.903226;24100.0;24112.903226;5000.0;6000.0;6000.0;6000.0;6000.0;6000.0;6000.0;7000.0;7000.0;7000.0;7000.0;7000.0;8000.0;11870.0;11870.0;11870.0;14740.0;14740.0;14740.0;15740.0;15740.0;15740.0;15740.0;15740.0;15740.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;21496.0;17496.0;17496.0;17496.0;17496.0;11756.0;11756.0;11756.0;11756.0;11756.0;11756.0;11756.0;11756.0;11756.0;11756.0;11756.0;11756.0
2;GNL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1501.033333;4966.133333;0.0;0.0;0.0;0.0;0.0;4881.320667;5138.29791;3695.275;7072.583333;6123.552258;4024.985333;-1029.479355;9262.626774;8383.145;11343.281613;16714.261644;14952.092087;12447.998;17959.620323;6212.16129;7516.666667;24822.580645;24750.0;23264.516129;38825.0;50650.0;50650.0;63650.0;63650.0;63650.0;73650.0;74975.0;74975.0;74975.0;74975.0;74975.0;76475.0;76475.0;76475.0;76475.0;76475.0;76475.0;76475.0;76475.0;76475.0;76475.0;76475.0;76475.0;76475.0;76475.0;76475.0;76475.0;76475.0;76475.0;76475.0;76475.0;76475.0;76475.0;76475.0;76475.0;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;76709.189189;51709.189189;51709.189189;51709.189189;51709.189189;51709.189189;51709.189189;51709.189189;51709.189189;51709.189189;51709.189189;51709.189189;51709.189189
3;GNC;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;392.23871;2029.732;2081.03409;1128.439;2186.714685;2320.709677;2500.0;3000.0;3000.0;4000.0;8000.0;8000.0;8000.0;8000.0;8000.0;8000.0;8000.0;8000.0;8000.0;8000.0;8000.0;8000.0;12000.0;12000.0;12000.0;12000.0;12000.0;12000.0;17000.0;17000.0;17000.0;17000.0;17000.0;17000.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;17496.0;13000.0;13000.0;13000.0;13000.0;13000.0;13000.0;13000.0;13000.0;13000.0;13000.0;13000.0;13000.0
3;GNL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10120.59;11270.967419;11933.358606;13256.918674;8198.374839;12647.424839;15915.607634;17820.715161;22540.607634;31143.295806;22520.322581;39740.0;29740.0;37240.0;32416.0;32416.0;39740.0;39740.0;39740.0;44740.0;44740.0;44740.0;65065.0;65065.0;65065.0;65065.0;65065.0;65065.0;65065.0;65065.0;65065.0;65065.0;65065.0;66315.0;65575.0;65575.0;65575.0;65575.0;65575.0;65575.0;65575.0;65575.0;65575.0;65575.0;65575.0;60575.0;65575.0;65575.0;65575.0;65575.0;65575.0;65575.0;65575.0;65575.0;65575.0;65575.0;65575.0;65575.0;62575.0;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;65419.2;60844.2;60844.2;60844.2;60844.2;60844.2;60844.2;60844.2;60844.2;60844.2;60844.2;60844.2;60844.2
4;GNC;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;GNL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;GNC;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;GNL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;71000.0;71000.0;71000.0;71000.0;71000.0;71000.0;104000.0;104000.0;104000.0;104000.0;104000.0;104000.0;104000.0;104000.0;104000.0;104000.0;104000.0;104000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;266000.0;226000.0;226000.0;226000.0;226000.0;226000.0;226000.0;226000.0;226000.0;226000.0;226000.0;226000.0;226000.0
