data_assinatura;inicio_vigencia;fim_vigencia;orgao_superior;orgao_entidade;unidade_gestora;forma_contratacao;grupo_objeto;numero_contrato;situacao;objeto;valor_contratado_rs
"23/12/2025";"23/12/2025";"23/12/2026";"Ministério da Gestão e da Inovação em Serviços Públicos";"Ministério da Gestão e da Inovação em Serviços Públicos - Unidades com vínculo direto";"CENTRO DE SERVICOS COMPARTILHADOS - MGI";"Sem Informação";"Serviços";"00070/2025";"Não se aplica";"CONTRATAÇÃO DE SERVIÇO TÉCNICO ESPECIALIZADO DE NATUREZA PREDOMINANTEMENTE INTELECTUAL COM EMPRESA DE NOTÓRIA ESPECIALIZAÇÃO PARA REALIZAÇÃO";"4.511.000,00"
"20/08/2025";"20/08/2025";"20/08/2026";"Ministério de Minas e Energia";"Agência Nacional de Mineração";"AGENCIA NACIONAL DE MINERACAO - DF";"Sem Informação";"Serviços";"00066/2025";"Não se aplica";"PRESTAÇÃO DE SERVIÇO REFERENTE À CAPACITAÇÃO DE LIDERANÇAS, ASSOCIADA À ANÁLISE DE PERFIL PSICOLÓGICO DAS LIDERANÇAS, COM A APLICAÇÃO DO TES";"100.000,00"
"03/07/2025";"03/07/2025";"03/07/2026";"Ministério de Minas e Energia";"Agência Nacional de Mineração";"AGENCIA NACIONAL DE MINERACAO - DF";"Sem Informação";"Serviços";"00060/2025";"Não se aplica";"PRESTAÇÃO DE SERVIÇOS ESPECIAIS DE DESENVOLVIMENTO DE LIDERANÇAS PARA A INTEGRAÇÃO DE NOVOS SERVIDORES DA ANM E REALIZAÇÃO DE WORKSHOP";"1.281.000,00"
"27/12/2024";"27/12/2024";"27/12/2025";"Ministério dos Transportes";"Ministério dos Transportes - Unidades com vínculo direto";"SUBSECRETARIA DE FOMENTO E PLANEJAMENTO";"Sem Informação";"Serviços";"00030/2024";"Não se aplica";"O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO DE ESTUDO PARA ELABORAÇÃO E APLICAÇÃO DE PESQUISAS QUALITATIVAS PARA REFINAMENTO DAS PROJEÇ";"509.998,61"
"17/12/2024";"17/12/2024";"16/12/2025";"Ministério das Comunicações";"Agêncial Nacional de Telecomunicações";"AGENCIA NACIONAL DE TELECOMUNICACOES-SEDE";"Sem Informação";"Serviços";"00203/2024";"Não se aplica";"CONTRATAÇÃO DE PRESTAÇÃO DE SERVIÇOS DE CAPACITAÇÃO NO CURSO ACADEMIA DE LIDERANÇA, VISANDO TREINAR E APERFEIÇOAR OS CONHECIMENTOS DOS SERVI";"1.015.000,00"
"20/12/2023";"20/12/2023";"20/12/2024";"Ministério da Integração e do Desenvolvimento Regional";"Agência Nacional de Águas e Saneamento Básico";"AGENCIA NACIONAL DE AGUAS E SANEAMENTO BASICO";"Inexigibilidade de Licitação";"Serviços";"00051/2023";"Não se aplica";"CONTRATAÇÃO DE SERVIÇOS DE CAPACITAÇÃO PARA ELABORAR E MINISTRAR O PROGRAMA DE DESENVOLVIMENTO DE LIDERANÇA PARA OS SERVIDORES DA AGÊNCIA NA";"461.000,00"
"22/12/2022";"23/12/2022";"23/12/2023";"Advocacia-Geral da União";"Advocacia-Geral da União - Unidades com vínculo direto";"ESCOLA SUPERIOR AGU MINIST. VICTOR NUNES LEAL";"Inexigibilidade de Licitação";"Serviços";"00012/2022";"Não se aplica";"CONTRATAÇÃO DE 1 (UM) SERVIÇO DE CAPACITAÇÃO COM A TEMÁTICA ""PROGRAMA DE DESENVOLVIMENTO EM GESTÃO ESTRATÉGICA CUSTOMIZADO PARA A ADVOCACIA";"912.000,00"
"05/10/2022";"31/10/2022";"20/10/2023";"Ministério da Ciência, Tecnologia e Inovação";"Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto";"COORDENACAO-GERAL DE RECURSOS LOGISTICOS";"Inexigibilidade de Licitação";"Outros";"00020/2022";"Não se aplica";"CONTRATAÇÃO DE SERVIÇO TÉCNICO ESPECIALIZADO DE TREINAMENTO E APERFEIÇOAMENTO DE PESSOAL, QUE SERÃO PRESTADOS NAS CONDIÇÕES ESTABELECIDAS NO";"254.000,00"
"30/09/2022";"18/10/2022";"10/11/2022";"Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"BANCO CENTRAL DO BRASIL";"Sem Informação";"Outros";"50371/2022";"Fechado";"Inscrição de servidor do DEATI em curso ""Liderança de Impacto: Conexão e Ação para Resultados""";"5.500,00"
"20/07/2022";"22/08/2022";"31/12/2022";"Ministério da Fazenda";"Receita Federal do Brasil";"SUPERINTENDENCIA REGIONAL DA RFB NA 4A RF";"Inexigibilidade de Licitação";"Serviços";"00004/2022";"Não se aplica";"CONTRATAÇÃO DE DUAS TURMAS FECHADAS (60 VAGAS) PARA A RFB, NO CURSO ""PROGRAMA LIDERANÇA DE IMPACTO: CONEXÃO E AÇÃO PARA RESULTADOS"".";"280.500,00"
"16/05/2022";"16/05/2022";"16/05/2023";"Ministério da Ciência, Tecnologia e Inovação";"Centro Nacional de Tecnologia Eletrônica Avançada S.A.";"CENTRO NACIONAL DE TECNOLOGIA ELETRONICA AVAN";"Dispensa de Licitação";"Serviços";"00016/2022";"Não se aplica";"TREINAMENTO CORPORATIVO PARA GOVERNANÇA CORPORATIVA";"15.800,00"
"18/01/2022";"18/01/2022";"18/07/2023";"Ministério da Integração e do Desenvolvimento Regional";"Ministério da Integração e do Desenvolvimento Regional - Unidades com vínculo direto";"MIDR/ADMINISTRACAO GERAL";"Inexigibilidade de Licitação";"Serviços";"00003/2022";"Não se aplica";"CONTRATAÇÃO DE CURSO DE CURTA DURAÇÃO AOS LÍDERES QUE ATUAM NO MINISTÉRIO DO DESENVOLVIMENTO REGIONAL, CONFORME OFICINA DE REVISÃO DO PLANEJ";"588.000,00"
"16/12/2021";"31/12/2021";"31/12/2022";"Ministério da Fazenda";"Receita Federal do Brasil";"SUPERINTENDENCIA REGIONAL DA RFB NA 4A RF";"Inexigibilidade de Licitação";"Serviços";"00027/2021";"Não se aplica";"CONTRATAÇÃO DE 30 VAGAS , EM UMA TURMA FECHADA PARA A RFB, NO PROGRAMA LIDERANÇA DE IMPACTO: CONEXÃO E AÇÃO PARA RESULTADOS, NA MODALIDADE O";"140.250,00"
"25/11/2021";"25/11/2021";"24/05/2023";"Ministério do Trabalho e Emprego";"Fundação Jorge Duprat Figueiredo, de Segurança e Medicina do Trabalho";"FUNDACENTRO - FUND.JORGE DUPRAT/CTN/SEDE - SP";"Inexigibilidade de Licitação";"Outros";"00019/2021";"Não se aplica";"SERVIÇOS DE PLANEJAMENTO E EXECUÇÃO DE EXECUTIVE MBA PARA SERVIDORA DA FUNDACENTRO";"63.144,54"
"17/09/2021";"20/09/2021";"31/12/2021";"Ministério da Fazenda";"Receita Federal do Brasil";"SUPERINTENDENCIA REGIONAL DA RFB NA 4A RF";"Inexigibilidade de Licitação";"Outros";"00020/2021";"Não se aplica";"CONTRATAÇÃO DE 30 (TRINTA) VAGAS, EM UMA TURMA FECHADA PARA A RFB, NO ""PROGRAMA LIDERANÇA DE IMPACTO: CONEXÃO E AÇÃO PARA RESULTADOS"", PROMO";"140.250,00"
"31/08/2021";"31/08/2021";"31/08/2022";"Ministério dos Transportes";"Ministério dos Transportes - Unidades com vínculo direto";"SUBSECRETARIA PLAN.,ORC.E ADM.-ADMINISTRATIVO";"Inexigibilidade de Licitação";"Outros";"00017/2021";"Não se aplica";"CONTRATAÇÃO DE SERVIÇO TÉCNICO PROFISSIONAL ESPECIALIZADO RELATIVO À REALIZAÇÃO DE TREINAMENTO E APERFEIÇOAMENTO DE PESSOAL.";"200.000,00"
"24/12/2020";"24/12/2020";"31/12/2021";"Ministério das Comunicações";"Agêncial Nacional de Telecomunicações";"AGENCIA NACIONAL DE TELECOMUNICACOES-SEDE";"Inexigibilidade de Licitação";"Outros";"00151/2020";"Não se aplica";"ATÉ 300 VAGAS NO CURSO IN COMPANY ""ACADEMIA DE LIDERANÇA ANO III - A LIDERANÇA EM MOVIMENTO""";"513.000,00"
"21/12/2020";"21/12/2020";"21/06/2021";"Ministério da Cultura";"Agência Nacional do Cinema";"AGENCIA NACIONAL DO CINEMA";"Inexigibilidade de Licitação";"Outros";"00033/2020";"Não se aplica";"CONTRATAÇÃO DE SERVIÇOS DE TREINAMENTOPARA DISSEMINAÇÃO DE CONHECIMENTOS EM GESTÃO DE RISCOS, COM VISTAS AO APRIMORAMENTO E IMPLEMENTAÇÃO DA";"165.000,00"
"09/10/2020";"09/10/2020";"09/02/2022";"Ministério de Minas e Energia";"Empresa de Pesquisa Energética";"EMPRESA DE PESQUISA ENERGETICA";"Sem Informação";"Outros";"42/2020";"Fechado";"Aplicação, no formato à distância do ""Programa de Alta Performance em Equipes"" para a EPE.";"330.000,00"
"30/09/2020";"29/10/2020";"26/11/2020";"Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"BANCO CENTRAL DO BRASIL";"Sem Informação";"Outros";"50756/2020";"Fechado";"Inscrição de servidores do DERIS em curso online Governança, Risco e Compliance";"20.800,00"
"30/12/2019";"30/12/2019";"30/06/2021";"Ministério da Saúde";"Agência Nacional de Vigilância Sanitária";"AGENCIA NACIONAL DE VIGILANCIA SANITARIA";"Inexigibilidade de Licitação";"Serviços";"00027/2019";"Não se aplica";"CONTRATAÇÃO DE SERVIÇOS DE CAPACITAÇÃOVISANDO À REALIZAÇÃO E FINALIZAÇÃO DO CURSO PROGRAMA DE DESENVOLVIMENTO DE LIDERANÇA PARA A ANVISA - F";"326.500,00"
"27/06/2019";"27/06/2019";"24/12/2021";"Ministério de Minas e Energia";"Agência Nacional de Mineração";"AGENCIA NACIONAL DE MINERACAO - DF";"Inexigibilidade de Licitação";"Outros";"00020/2019";"Não se aplica";"CONTRATAÇÃO DA FUNDAÇÃO DOM CABRAL PARACONDUÇÃO DE PROGRAMA DE CAPACITAÇÃO EM DESENVOLVIMENTO ORGANIZACIONAL ÀS NECESSIDADES DA ANM.";"0,00"
"12/06/2019";"12/06/2019";"12/06/2021";"Ministério da Saúde";"Fundação Oswaldo Cruz";"FUNDACAO OSWALDO CRUZ";"Inexigibilidade de Licitação";"Serviços";"00052/2019";"Não se aplica";"CONTRATAÇÃO DE INSTITUIÇÃO RECONHECIDANACIONALMENTE PELA FORMAÇÃO ACADÊMICA DE SEU QUADRO DOCENTE E PELA EXPERIÊNCIA NO DESENVOLVIMENTO DE G";"691.000,00"
"03/06/2019";"03/06/2019";"02/06/2020";"Ministério de Minas e Energia";"Agência Nacional de Mineração";"AGENCIA NACIONAL DE MINERACAO - DF";"Inexigibilidade de Licitação";"Serviços";"17/2019";"Publicado";"Contratação de empresa especializada para desenvolver, de forma customizada, Programa de Desenvolvimento Gerencial para a ANM.";"454.000,00"
"27/12/2018";"27/12/2018";"26/12/2019";"Ministério das Comunicações";"Agêncial Nacional de Telecomunicações";"AGENCIA NACIONAL DE TELECOMUNICACOES-SEDE";"Inexigibilidade de Licitação";"Serviços";"214/2018";"Publicado";"Prestação de serviço de capacitação intitulada ""Academia de Liderança Anatel-AnoII- A liderança em movimento""";"1.217.473,00"
"23/11/2018";"23/11/2018";"22/09/2019";"Ministério das Comunicações";"Agêncial Nacional de Telecomunicações";"AGENCIA NACIONAL DE TELECOMUNICACOES-SEDE";"Inexigibilidade de Licitação";"Serviços";"155/2018";"Publicado";"Curso ""Coaching Profissional"", 1 vaga, 20 horas";"54.000,00"
"06/11/2018";"20/11/2018";"22/11/2018";"Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"BANCO CENTRAL DO BRASIL";"Sem Informação";"Outros";"51587/2018";"Fechado";"GOVERNANÇA, RISCO E COMPLIANCE";"11.210,00"
"21/02/2018";"21/02/2018";"21/02/2019";"Ministério de Minas e Energia";"Empresa de Pesquisa Energética";"EMPRESA DE PESQUISA ENERGETICA";"Sem Informação";"Outros";"4/2018";"Fechado";"Desenvolvimento organizacional e de executivos para implantação do programa de desenvolvimento de liderança da EPE";"358.000,00"
"19/12/2017";"19/12/2017";"18/10/2018";"Ministério das Comunicações";"Agêncial Nacional de Telecomunicações";"AGENCIA NACIONAL DE TELECOMUNICACOES-SEDE";"Inexigibilidade de Licitação";"Serviços";"124/2017";"Publicado";"Capacitação em liderança de 160 servidores.";"643.100,00"
"15/12/2017";"26/12/2017";"21/12/2018";"Ministério da Defesa";"Empresa Brasileira de Infraestrutura Aeroportuária";"EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUARIA";"Sem Informação";"Outros";"129/2017";"Fechado";"Contratação da fundação dom cabral para elaboração e execução de programa de desenvolvimento gerencial com foco em gestão de resultados para";"687.700,00"
