data_assinatura;inicio_vigencia;fim_vigencia;orgao_superior;orgao_entidade;unidade_gestora;forma_contratacao;grupo_objeto;numero_contrato;situacao;objeto;valor_contratado_rs
"30/04/2026";"30/04/2026";"30/04/2027";"Ministério de Minas e Energia";"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"ESCRITORIO CENTRAL DA ANP";"Sem Informação";"Outros";"05003/2026";"Não se aplica";"SERVIÇOS COMUNS DA FUNDAÇÃO GETULIO VARGAS - FGV PARA PRESTAÇÃO DE SERVIÇO TÉCNICO PROFISSIONAL ESPECIALIZADO DE REALIZAÇÃO DO CURSO DE FORMAÇÃO DO CPNU-2 (ANP";"348.517,10"
"06/04/2026";"06/04/2026";"05/02/2028";"Ministério da Defesa";"Comando do Exército";"DEPARTAMENTO DE EDUCACAO E CULTURA DO EXERCIT";"Sem Informação";"Serviços";"00001/2026";"Não se aplica";"MESTRADO DO CURSO DE PÓS-GRADUACAO STRICTO SENSU";"91.720,62"
"23/03/2026";"21/04/2026";"21/04/2027";"Ministério de Portos e Aeroportos";"Agência Nacional de Aviação Civil";"AGENCIA NACIONAL DE AVIACAO CIVIL";"Sem Informação";"Serviços";"00007/2026";"Não se aplica";"CONTRATAÇÃO DE SERVIÇO CONTÍNUO DE GESTÃO DO SISTEMA DE AFERIÇÃO DE CONHECIMENTOS TEÓRICOS, INCLUINDO INSCRIÇÃO, AGENDAMENTO, APLICAÇÃO DE PROVAS NA MODALIDADES";"7.790.513,50"
"13/02/2026";"13/02/2026";"13/12/2027";"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome";"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome - Unidades com vínculo direto";"COORDENACAO GERAL DE LICITACOES E CONTRATOS.";"Sem Informação";"Serviços";"00001/2026";"Não se aplica";"CONTRATAÇÃO DE SERVIÇOS TÉCNICOS ESPECIALIZADOS POR ESCOPO, SEM DEDICAÇÃO DE MÃO DE OBRA EXCLUSIVA, PARA ELABORAÇÃO DE ESTUDOS E MONITORAMENTO DA INSEGURANÇA AL";"5.350.000,00"
"10/02/2026";"10/02/2026";"10/02/2027";"Ministério da Defesa";"Comando do Exército";"ESCOLA DE CMDO E ESTADO-MAIOR DO EXERCITO";"Sem Informação";"Serviços";"00026/2025";"Não se aplica";"CONTRATAÇÃO DE SERVIÇO DE INSTITUIÇÃO DE ENSINO SUPERIOR PARA O CPEAEX";"969.840,00"
"03/02/2026";"03/02/2026";"03/02/2029";"Ministério da Educação";"Fundo Nacional de Desenvolvimento da Educação";"FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO";"Sem Informação";"Serviços";"00008/2026";"Não se aplica";"CONTRATAÇÃO DE SERVIÇOS COMUNS DE TÉCNICOS ESPECIALIZADOS PARA ELABORAÇÃO DE ESTUDOS DE CUSTOS DO PROGRAMA NACIONAL DE ALIMENTAÇÃO ESCOLAR - PNAE, NAS CONDIÇÕES";"9.306.300,00"
"29/01/2026";"29/01/2026";"29/01/2028";"Ministério da Fazenda";"Superintendência de Seguros Privados";"SUPERINTENDENCIA DE SEGUROS PRIVADOS - RJ";"Sem Informação";"Serviços";"00030/2025";"Não se aplica";"O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO PARA CONSULTORIA ESPECIALIZADA EM ACERVO HISTÓRICO PARA ORGANIZAÇÃO, CATALOGAÇÃO E OFERECIMENTO DE SOLUÇÕES PAR";"1.681.713,71"
"29/01/2026";"29/01/2026";"29/01/2027";"Ministério dos Transportes";"Agência Nacional de Transportes Terrestres";"AGENCIA NACIONAL DE TRANSPORTES TERRESTRES";"Sem Informação";"Serviços";"00001/2026";"Não se aplica";"CONSTITUI OBJETO DO PRESENTE CONTRATO A INCLUSÃO DA PARTICIPANTE NO PROGRAMA BRASILEIRO GHG PROTOCOL - CICLO 2026 (""PROGRAMA GHG"") NOS TERMOS DO ANEXO I DESTE C";"19.500,00"
"23/01/2026";"23/01/2026";"23/01/2028";"Ministério dos Transportes";"Departamento Nacional de Infraestrutura de Transportes";"DEPART.NAC.INFRA ESTRUTURA TRANSPORTES.";"Sem Informação";"Serviços";"00874/2025";"Não se aplica";"CONTRATAÇÃO DE SERVIÇOS COMUNS ESPECIALIZADOS DESTINADOS À REALIZAÇÃO DE CURSO DE FORMAÇÃO, NA MODALIDADE PRESENCIAL, SEGUNDA ETAPA DO CONCURSO PÚBLICO PARA PRO";"104.130,00"
"31/12/2025";"31/12/2025";"30/06/2029";"Ministério da Fazenda";"Ministério da Fazenda - Unidades com vínculo direto";"PROCURADORIA GERAL DA FAZENDA NACIONAL";"Sem Informação";"Serviços";"00010/2025";"Não se aplica";". O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO DE INSTITUIÇÃO DE ENSINO SUPERIOR DE NOTÓRIA ESPECIALIZAÇÃO PARA A PRESTAÇÃO DE SERVIÇOS TÉCNICOS EDUCACIONA";"1.213.710,75"
