Distribuidora;UF;Fonte;FID
COMPAGAS;PR;Mapa da companhia distribuidora local de gás;68
SCGAS;SC;Mapa da companhia distribuidora local de gás;69
COMGÁS;SP;Mapa da companhia distribuidora local de gás;70
Necta/Gás Brasiliano;SP;Mapa da companhia distribuidora local de gás;71
Naturgy;SP;Mapa da companhia distribuidora local de gás;72
MSGÁS;MS;Mapa da companhia distribuidora local de gás;73
Potigás;RN;Mapa da companhia distribuidora local de gás;74
SERGÁS;SE;Mapa da companhia distribuidora local de gás;75
Naturgy;RJ;Mapa da companhia distribuidora local de gás;76
Naturgy;RJ;Mapa da companhia distribuidora local de gás;77
PBGÁS;PB;Mapa da companhia distribuidora local de gás;78
Gasmig;MG;Mapa da companhia distribuidora local de gás;79
ES GAS;ES;Companhia Distribuidora Local  Maio 2022;80
CIGAS;AM;Companhia Distribuidora Local  Maio 2022;81
BAHIAGAS;BA;Companhia Distribuidora Local Agosto 2022;84
Algas;AL;Companhia Distribuidora Local Agosto 2022;85
Copergas;PE;Site da COPERGAS em 16/09/25;468
SULGAS;RS;Site da SULGAS em 23/09/25;868
CEGAS;CE;Dados enviados pela CEGAS em out/25;869
