Nome;Categoria;Diâmetro (Polegada);Extensão (km);Município Origem;Município Destino;Fontes;Pressão Máx. Operação;Transportadora;FID
GASBOL - Trecho Norte (Ramal Gemini);Existente;8;1.7341573;Paulínia;Paulínia;TBG - Transportadora Brasileira Gasoduto Bolívia-Brasil (maio 2023);100/75;TBG;2413
GASBOL - Trecho Norte (Ramal Gemini);Existente;12;0.01047013;Paulínia;Paulínia;TBG - Transportadora Brasileira Gasoduto Bolívia-Brasil (maio 2023);100/75;TBG;2414
GASBOL - Trecho Norte (Ramal ECOMP Paulínia);Existente;32;0.55009036;Paulínia;Paulínia;TBG - Transportadora Brasileira Gasoduto Bolívia-Brasil (maio 2023);100/75;TBG;2415
GASBOL - Trecho Norte (Ramal ECOMP Paulínia);Existente;32;0.56014236;Paulínia;Paulínia;TBG - Transportadora Brasileira Gasoduto Bolívia-Brasil (maio 2023);100/75;TBG;2416
Jacutinga-Uberaba (ramal Pocos Caldas);Indicativo;12;20.18961603;Vargem Grande do Sul (MG);Pocos de Caldas (MG);PIG 2022;100;Estudo EPE;2417
Jacutinga-Uberaba;Indicativo;18;320.88076877;Jacutinga (MG);Uberaba (MG);PIG 2022;100;Estudo EPE;2418
Duque de Caxias - Taubaté (GASDUT) ;Indicativo;28;294.5;Duque de Caxias (RJ);Taubaté (SP);PNIIGB (set/2025) e PIG 2024;100;Estudo EPE;2420
São João da Barra-Macaé;Indicativo;22;100.61593753;São João da Barra (RJ);Macaé (RJ);PIG 2022;100;Estudo EPE;2421
Penápolis-Canoas (Chimarrão A);Indicativo;20;1154.60732606;PENÁPOLIS (SP);CANOAS (RS);PIG 2020; ;Estudo EPE;2423
Porto Central-GASCAV;Indicativo;20;14.52524408;PRESIDENTE KENNEDY (ES);PRESIDENTE KENNEDY (ES);PIG 2019; ;Estudo EPE;2426
São Carlos - Brasília (Brasil Central);Indicativo;20/18;833.31345621;SÃO CARLOS (SP);BRASÍLIA (DF);PIG 2019; ;Estudo EPE;2429
Mina Guaíba-Triunfo;Indicativo;16;17.95409377;CHARQUEADAS (RS);TRIUNFO (RS);PIG 2019; ;Estudo EPE;2432
Porto Imbituba-GASBOL;Indicativo; 20;46.02687754;IMBITUBA (SC);SÃO MARTINHO (SC);PIG 2019; ;Estudo EPE;2433
Cubatão-GASAN;Indicativo;20;19.64620983;CUBATÃO (SP);SÃO BERNARDO DO CAMPO (SP);PIG 2019; ;Estudo EPE;2434
Porto de Itaguaí-GASCAR;Indicativo;24;35.42002609;ITAGUAÍ (RJ);SEROPÉDICA (RJ);PIG 2019; ;Estudo EPE;2435
GASBOL - Trecho Sul (Siderópolis-Canoas);Existente;16;250.05904763;Siderópolis;Canoas;TBG - Transportadora Brasileira Gasoduto Bolívia-Brasil (maio 2023);100/75;TBG;2436
GASBOL - Trecho Sul (Biguaçu-Siderópolis);Existente;18;175.77227113;Biguaçu;Canoas;TBG - Transportadora Brasileira Gasoduto Bolívia-Brasil (maio 2023);100/75;TBG;2437
GASBOL - Trecho Sul (Araucária-Biguaçu);Existente;20;273.37570877;Araucária;Biguaçu;TBG - Transportadora Brasileira Gasoduto Bolívia-Brasil (maio 2023);100/75;TBG;2438
GASBOL - Trecho Sul (Paulínia-Araucária);Existente;24;471.50295309;Paulínia;Araucária;TBG - Transportadora Brasileira Gasoduto Bolívia-Brasil (maio 2023);100/75;TBG;2439
GASBOL - Trecho Sul (Ramal Emed Garuva);Existente;18;0.18787301;Garuva;Garuva;TBG - Transportadora Brasileira Gasoduto Bolívia-Brasil (maio 2023);100/75;TBG;2440
GASBOL - Trecho Norte (Paulínia-Guararema);Existente;24;153.10442415;Paulínia;Guararema;TBG - Transportadora Brasileira Gasoduto Bolívia-Brasil (maio 2023);100/75;TBG;2441
GASBOL - Trecho Sul (Ramal EMED Garuva);Existente;18;0.0138235;Garuva;Garuva;TBG - Transportadora Brasileira Gasoduto Bolívia-Brasil (maio 2023);100/75;TBG;2442
Coari-Manaus (Gascom);Existente;20;391.93626562;Coari (AM);Manaus (AM);TAG - Transportadora Associada de Gás S.A (maio 2023);120;TAG;2443
Coari-Manaus (Ramal Iranduba);Existente;3;7.58512097;IRANDUBA (AM);IRANDUBA (AM);TAG - Transportadora Associada de Gás S.A (maio 2023);80;TAG;2444
Coari-Manaus (Ramal Anamã);Existente;3;23.65159117;ANAMÃ (AM);ANAMÃ (AM);TAG - Transportadora Associada de Gás S.A (maio 2023);80;TAG;2445
Coari-Manaus (Ramal Anori);Existente;3;27.45526991;Anori (AM);Anori (AM);TAG - Transportadora Associada de Gás S.A (maio 2023);80;TAG;2446
Coari-Manaus (Ramal Aparecida);Existente;14;17.79238586;Iranduba (AM);Manaus (AM);TAG - Transportadora Associada de Gás S.A (maio 2023);80;TAG;2447
Coari-Manaus (Ramal Coari);Existente;4;25.73456706;Coari (AM);Coari (AM);TAG - Transportadora Associada de Gás S.A (maio 2023);80;TAG;2448
Coari-Manaus (Ramal Caapiranga);Existente;3;7.05522165;Caapiranga (AM);Caapiranga (AM);TAG - Transportadora Associada de Gás S.A (maio 2023);80;TAG;2449
Coari-Manaus (Ramal Codajas);Existente;3;19.01591222;Codajas (AM);Codajas (AM);TAG - Transportadora Associada de Gás S.A (maio 2023);80;TAG;2450
Coari-Manaus (Ramal Manacapuru);Existente;3;7.58416219;Manacapuru (AM);Manacapuru (AM);TAG - Transportadora Associada de Gás S.A (maio 2023);80;TAG;2452
Urucu-Coari (Garsol);Existente;3;278.76107241;Coari (AM);Coari (AM);TAG - Transportadora Associada de Gás S.A (maio 2023);120;TAG;2453
Santiago-Camacari 18 (SANCAM 18);Existente;18;32.0056222;Pojuca (BA);Camacari (BA);TAG - Transportadora Associada de Gás S.A (maio 2023);31;TAG;2464
Candeias-Dow-Aratu-Camacari 14 (Cancam 14);Existente;14;8.83157272;Candeias(BA);Camacari (BA);TAG - Transportadora Associada de Gás S.A (maio 2023); ;TAG;2469
Candeias-Aratu 12;Existente;12;8.79979486;Candeias (BA);Aratu (BA);TAG - Transportadora Associada de Gás S.A (maio 2023); ;TAG;2470
Candeias-Aratu 12;Existente;12;12.90945905;Candeias(BA);Aratu (BA);TAG - Transportadora Associada de Gás S.A (maio 2023); ;TAG;2471
Candeias-Camacari 12 (Cancam 12);Existente;12;36.81426035;Candeias(BA);Camacari (BA);TAG - Transportadora Associada de Gás S.A (maio 2023); ;TAG;2472
Candeias-Dow-Aratu-Camacari 14 (Cancam 14);Existente;14;8.83157272;Candeias(BA);Camacari (BA);TAG - Transportadora Associada de Gás S.A (maio 2023); ;TAG;2473
Candeias-Dow-Aratu-Camacari 14 (Cancam 14);Existente;14;19.92839236;Candeias(BA);Camacari (BA);TAG - Transportadora Associada de Gás S.A (maio 2023); ;TAG;2474
Santiago-Camacari 14 (SANCAM 14);Existente;14;31.99078226;Pojuca (BA);Camacari (BA);TAG - Transportadora Associada de Gás S.A (maio 2023);31;TAG;2475
Urucu-Porto Velho;Autorizado;14;242;Urucu (AM);Porto Velho (RO);Autorizações outorgadas para a construção e operação de gasodutos de transporte antes Resolução ANP nº 52/2015;120;;2481
Manaus-Nhamundá;Autorizado;20;463.65230005;MANAUS (AM);NHAMUNDÁ (AM);Autorizações outorgadas para a construção e operação de gasodutos de transporte antes Resolução ANP nº 52/2015;100; ;2482
Uruguaiana-Porto Alegre (trecho 3);Existente;24;22.27165296;CANOAS (RS);TRIUNFO (RS);MME - Boletim Mensal Acompanhamento Indústria Gás Natural  Março 2023 - Anexo Informações Complementares;100;TSB;2483
Uruguaiana-Porto Alegre (trecho 1);Existente;24;24.42786693;URUGUAIANA (RS);URUGUAIANA (RS);MME - Boletim Mensal Acompanhamento Indústria Gás Natural  Março 2023 - Anexo Informações Complementares;76;TSB;2485
Lateral Cuiabá;Existente;18;280.3236446;CÁCERES (MT);CUIABÁ (MT);MME - Boletim Mensal Acompanhamento Indústria Gás Natural  Março 2023 - Anexo Informações Complementares;101;GASOCIDENTE;2486
GASBEL II (ESVOL - ESTAP);Existente;18;87.00597921;Rio das Flores (RJ);Volta Redonda (RJ);NTS - Nova Transportadora do Sudeste S.A. (maio 2023); ;NTS;2488
GASBEL (REDUC - ESMAN);Existente;16;169.18851912;Duque de Caxias (RJ);Santos Dumont (MG);NTS - Nova Transportadora do Sudeste S.A. (maio 2023); ;NTS;2489
GASBEL II (ESTAP - ESMAN);Existente;18;97.39053115;Rio das Flores (MG);Santos Dumont (MG);NTS - Nova Transportadora do Sudeste S.A. (maio 2023); ;NTS;2490
GASBEL II (ESMAN - Queluzito);Existente;18;82.73747081;Santos Dumont (MG);Queluzito (MG);NTS - Nova Transportadora do Sudeste S.A. (maio 2023); ;NTS;2491
GASBEL (ESMAN - REGAP);Existente;16;182.25546432;Santos Dumont (MG);Betim (MG);NTS - Nova Transportadora do Sudeste S.A. (maio 2023); ;NTS;2492
GASAN 12 (RPBC - RECAP);Existente;12;42.29088284;Cubatao (SP);Maua (SP);NTS - Nova Transportadora do Sudeste S.A. (maio 2023); ;NTS;2493
GASAN II 22 (Maua - S.B. Campo);Existente;22;38.04672756;Maua (SP);Sao Bernardo do Campo (SP);NTS - Nova Transportadora do Sudeste S.A. (maio 2023); ;NTS;2494
GASPAL II 22 (Guararema - Maua);Existente;22;54.60914364;Guararema (SP);Maua (SP);NTS - Nova Transportadora do Sudeste S.A. (maio 2023); ;NTS;2495
GASPAL 22 (Guararema - RECAP);Existente;22;61.14204519;Guararema (SP);Maua (SP);NTS - Nova Transportadora do Sudeste S.A. (maio 2023); ;NTS;2496
GASTAU 28 (Caraguatatuba - Taubate));Existente;28;96.41679212;Caraguatatuba (SP);Taubate (SP);NTS - Nova Transportadora do Sudeste S.A. (maio 2023); ;NTS;2497
GASPAJ 14 (Paulinia - Jacutinga);Existente;14;93.12235169;Paulinia (SP);Jacutinga (MG);NTS - Nova Transportadora do Sudeste S.A. (maio 2023); ;NTS;2498
GASPAL 22 (ESVOL - Lorena);Existente;22;128.81261936;Volta Redonda (RJ);Maua (SP);NTS - Nova Transportadora do Sudeste S.A. (maio 2023); ;NTS;2499
GASPAL 22 (Lorena - Guararema);Existente;22;129.8976055;Volta Redonda (RJ);Maua (SP);NTS - Nova Transportadora do Sudeste S.A. (maio 2023); ;NTS;2500
GASCAR 28 (REPLAN - Taubate);Existente;28;198.75643947;Paulinia (SP);Taubate (SP);NTS - Nova Transportadora do Sudeste S.A. (maio 2023); ;NTS;2501
GASPAJ 14 (Paulinia - Jacutinga);Existente;14;93.12235169;Paulinia (SP);Jacutinga (MG);NTS - Nova Transportadora do Sudeste S.A. (maio 2023); ;NTS;2502
GASCAR 28 (Arapei - Japeri);Existente;28;98.16751707;Paulinia (SP);Japeri (RJ);NTS - Nova Transportadora do Sudeste S.A. (maio 2023); ;NTS;2503
GASVOL 14 (ESVOL - TEVOL);Existente;14;5.33060131;Volta Redonda (RJ);Volta Redonda (RJ);NTS - Nova Transportadora do Sudeste S.A. (maio 2023); ;NTS;2504
GASVOL 18 (ESJAP - ESVOL);Existente;18;51.93753787;Arapei (RJ);Japeri (RJ;NTS - Nova Transportadora do Sudeste S.A. (maio 2023);100;NTS;2505
GASJAP 28 (REDUC - ESJAP);Existente;28;45.26101884;Duque de Caxias (RJ);Japeri (RJ);NTS - Nova Transportadora do Sudeste S.A. (maio 2023); ;NTS;2506
GASVOL 18 (REDUC - ESJAP);Existente;18;41.08954233;Duque de Caxias (RJ);Japeri (RJ);NTS - Nova Transportadora do Sudeste S.A. (maio 2023); ;NTS;2507
GASVOL (Ramal de Campos Elíseos 16);Existente;16;3.66812332;Duque de Caxias (RJ);Duque de Caxias (RJ);NTS - Nova Transportadora do Sudeste S.A. (maio 2023); ;NTS;2508
GASDUC III (CABIÚNAS - REDUC);Existente;38;184.46869556;Macaé (RJ);Duque de Caxias (RJ);NTS - Nova Transportadora do Sudeste S.A. (maio 2023);100;NTS;2509
GASBEL II (ESMAN-Queluzito);Existente;18;82.73747081;Santos Dumont (MG);Betim (MG);NTS - Nova Transportadora do Sudeste S.A. (maio 2023);65;NTS;2510
GASBEL II (ESTAP-ESMAN);Existente;18;97.39053115;Duque de Caxias (RJ);Betim (MG);NTS - Nova Transportadora do Sudeste S.A. (maio 2023);65;NTS;2511
GASBEL II (ESVOL-ESTAP);Existente;18;87.00597921;Volta Redonda (RJ);Queluzito (MG);NTS - Nova Transportadora do Sudeste S.A. (maio 2023);100;NTS;2512
GASBEL (REDUC - ESMAN);Existente;16;169.18851912;Duque de Caxias (RJ);Betim (MG);NTS - Nova Transportadora do Sudeste S.A. (maio 2023);65;NTS;2513
GASBEL I (ESMAN-REGAP);Existente;16;182.25546432;Duque de Caxias (RJ);Betim (MG);NTS - Nova Transportadora do Sudeste S.A. (maio 2023);65;NTS;2514
Gasduc I (Ramal Campos Eliseos);Existente;20;2.30797061;Campos Eliseos (RJ);Campos Eliseos (RJ);NTS - Nova Transportadora do Sudeste S.A. (maio 2023);100;NTS;2515
Gasduc I (Ramal Campos Eliseos);Existente;16;3.66812332;Campos Eliseos (RJ);Campos Eliseos (RJ);NTS - Nova Transportadora do Sudeste S.A. (maio 2023);100;NTS;2516
Reduc-ESJAP (GASVOL);Existente;18;41.08954233;Duque de Caxias (RJ);Volta Redonda (RJ);NTS - Nova Transportadora do Sudeste S.A. (maio 2023); ;NTS;2517
Itaboraí-Guapimirim (GASIG);Existente;24;10.92028115;Itaborai (RJ);Guapimirim (RJ);NTS - Nova Transportadora do Sudeste S.A. (maio 2023);100;NTS;2518
Cacimbas-Vitoria (GASCAV - Ramal UTG-Sul);Existente;10;9.88496943;Anchieta (ES);Anchieta (ES);TAG - Transportadora Associada de Gás S.A (maio 2023);100;TAG;2519
GASVOL 18 (REDUC - ESJAP);Existente;18;41.08954233;Caxias (RJ);Japeri (RJ);NTS - Nova Transportadora do Sudeste S.A. (maio 2023); ;NTS;2524
GASIG (Itaboraí-Guapimirim);Existente;24;10.56821268;ITABORAi (RJ);GUAPIMIRIM (RJ);PDE 2024-2034;100;NTS;2526
Terminal Gás Sul (TGS)-GASBOL;Indicativo;20;31.78461268;ITAPOÁ (SC);GARUVA (SC);PIG 2019; ;Estudo EPE;2528
