Soja - Valor da produção (2024),,
localidade,valor,unidade
Abaíra - BA,-,Mil Reais
Abaré - BA,-,Mil Reais
Acajutiba - BA,-,Mil Reais
Adustina - BA,-,Mil Reais
Água Fria - BA,-,Mil Reais
Érico Cardoso - BA,-,Mil Reais
Aiquara - BA,-,Mil Reais
Alagoinhas - BA,-,Mil Reais
Alcobaça - BA,-,Mil Reais
Almadina - BA,-,Mil Reais
Amargosa - BA,-,Mil Reais
Amélia Rodrigues - BA,-,Mil Reais
América Dourada - BA,-,Mil Reais
Anagé - BA,-,Mil Reais
Andaraí - BA,-,Mil Reais
Andorinha - BA,-,Mil Reais
Angical - BA,-,Mil Reais
Anguera - BA,-,Mil Reais
Antas - BA,-,Mil Reais
Antônio Cardoso - BA,-,Mil Reais
Antônio Gonçalves - BA,-,Mil Reais
Aporá - BA,-,Mil Reais
Apuarema - BA,-,Mil Reais
Aracatu - BA,-,Mil Reais
Araças - BA,-,Mil Reais
Araci - BA,-,Mil Reais
Aramari - BA,-,Mil Reais
Arataca - BA,-,Mil Reais
Aratuípe - BA,-,Mil Reais
Aurelino Leal - BA,-,Mil Reais
Baianópolis - BA,128.195,Mil Reais
Baixa Grande - BA,-,Mil Reais
Banzaê - BA,-,Mil Reais
Barra - BA,943,Mil Reais
Barra da Estiva - BA,-,Mil Reais
Barra do Choça - BA,-,Mil Reais
Barra do Mendes - BA,-,Mil Reais
Barra do Rocha - BA,-,Mil Reais
Barreiras - BA,2.064.482,Mil Reais
Barro Alto - BA,-,Mil Reais
Barrocas - BA,-,Mil Reais
Barro Preto - BA,-,Mil Reais
Belmonte - BA,-,Mil Reais
Belo Campo - BA,-,Mil Reais
Biritinga - BA,-,Mil Reais
Boa Nova - BA,-,Mil Reais
Boa Vista do Tupim - BA,-,Mil Reais
Bom Jesus da Lapa - BA,-,Mil Reais
Bom Jesus da Serra - BA,-,Mil Reais
Boninal - BA,-,Mil Reais
Bonito - BA,-,Mil Reais
Boquira - BA,-,Mil Reais
Botuporã - BA,-,Mil Reais
Brejões - BA,-,Mil Reais
Brejolândia - BA,-,Mil Reais
Brotas de Macaúbas - BA,-,Mil Reais
Brumado - BA,-,Mil Reais
Buerarema - BA,-,Mil Reais
Buritirama - BA,-,Mil Reais
Caatiba - BA,-,Mil Reais
Cabaceiras do Paraguaçu - BA,-,Mil Reais
Cachoeira - BA,-,Mil Reais
Caculé - BA,-,Mil Reais
Caém - BA,-,Mil Reais
Caetanos - BA,-,Mil Reais
Caetité - BA,-,Mil Reais
Cafarnaum - BA,-,Mil Reais
Cairu - BA,...,Mil Reais
Caldeirão Grande - BA,-,Mil Reais
Camacan - BA,-,Mil Reais
Camaçari - BA,-,Mil Reais
Camamu - BA,-,Mil Reais
Campo Alegre de Lourdes - BA,-,Mil Reais
Campo Formoso - BA,-,Mil Reais
Canápolis - BA,-,Mil Reais
Canarana - BA,-,Mil Reais
Canavieiras - BA,-,Mil Reais
Candeal - BA,-,Mil Reais
Candeias - BA,-,Mil Reais
Candiba - BA,-,Mil Reais
Cândido Sales - BA,-,Mil Reais
Cansanção - BA,-,Mil Reais
Canudos - BA,-,Mil Reais
Capela do Alto Alegre - BA,-,Mil Reais
Capim Grosso - BA,-,Mil Reais
Caraíbas - BA,-,Mil Reais
Caravelas - BA,-,Mil Reais
Cardeal da Silva - BA,-,Mil Reais
Carinhanha - BA,1.316,Mil Reais
Casa Nova - BA,-,Mil Reais
Castro Alves - BA,-,Mil Reais
Catolândia - BA,-,Mil Reais
Catu - BA,-,Mil Reais
Caturama - BA,-,Mil Reais
Central - BA,-,Mil Reais
Chorrochó - BA,-,Mil Reais
Cícero Dantas - BA,-,Mil Reais
Cipó - BA,-,Mil Reais
Coaraci - BA,-,Mil Reais
Cocos - BA,118.830,Mil Reais
Conceição da Feira - BA,-,Mil Reais
Conceição do Almeida - BA,-,Mil Reais
Conceição do Coité - BA,-,Mil Reais
Conceição do Jacuípe - BA,-,Mil Reais
Conde - BA,-,Mil Reais
Condeúba - BA,-,Mil Reais
Contendas do Sincorá - BA,-,Mil Reais
Coração de Maria - BA,-,Mil Reais
Cordeiros - BA,-,Mil Reais
Coribe - BA,-,Mil Reais
Coronel João Sá - BA,-,Mil Reais
Correntina - BA,1.213.331,Mil Reais
Cotegipe - BA,1.894,Mil Reais
Cravolândia - BA,-,Mil Reais
Crisópolis - BA,-,Mil Reais
Cristópolis - BA,-,Mil Reais
Cruz das Almas - BA,-,Mil Reais
Curaçá - BA,-,Mil Reais
Dário Meira - BA,-,Mil Reais
Dias d`Ávila - BA,-,Mil Reais
Dom Basílio - BA,-,Mil Reais
Dom Macedo Costa - BA,-,Mil Reais
Elísio Medrado - BA,-,Mil Reais
Encruzilhada - BA,-,Mil Reais
Entre Rios - BA,-,Mil Reais
Esplanada - BA,-,Mil Reais
Euclides da Cunha - BA,-,Mil Reais
Eunápolis - BA,-,Mil Reais
Fátima - BA,-,Mil Reais
Feira da Mata - BA,-,Mil Reais
Feira de Santana - BA,-,Mil Reais
Filadélfia - BA,-,Mil Reais
Firmino Alves - BA,-,Mil Reais
Floresta Azul - BA,-,Mil Reais
Formosa do Rio Preto - BA,3.639.489,Mil Reais
Gandu - BA,-,Mil Reais
Gavião - BA,-,Mil Reais
Gentio do Ouro - BA,-,Mil Reais
Glória - BA,-,Mil Reais
Gongogi - BA,-,Mil Reais
Governador Mangabeira - BA,-,Mil Reais
Guajeru - BA,-,Mil Reais
Guanambi - BA,-,Mil Reais
Guaratinga - BA,-,Mil Reais
Heliópolis - BA,-,Mil Reais
Iaçu - BA,-,Mil Reais
Ibiassucê - BA,-,Mil Reais
Ibicaraí - BA,-,Mil Reais
Ibicoara - BA,10.240,Mil Reais
Ibicuí - BA,-,Mil Reais
Ibipeba - BA,-,Mil Reais
Ibipitanga - BA,-,Mil Reais
Ibiquera - BA,-,Mil Reais
Ibirapitanga - BA,-,Mil Reais
Ibirapuã - BA,-,Mil Reais
Ibirataia - BA,-,Mil Reais
Ibitiara - BA,-,Mil Reais
Ibititá - BA,-,Mil Reais
Ibotirama - BA,-,Mil Reais
Ichu - BA,-,Mil Reais
Igaporã - BA,-,Mil Reais
Igrapiúna - BA,-,Mil Reais
Iguaí - BA,-,Mil Reais
Ilhéus - BA,-,Mil Reais
Inhambupe - BA,-,Mil Reais
Ipecaetá - BA,-,Mil Reais
Ipiaú - BA,-,Mil Reais
Ipirá - BA,-,Mil Reais
Ipupiara - BA,-,Mil Reais
Irajuba - BA,-,Mil Reais
Iramaia - BA,-,Mil Reais
Iraquara - BA,-,Mil Reais
Irará - BA,-,Mil Reais
Irecê - BA,-,Mil Reais
Itabela - BA,-,Mil Reais
Itaberaba - BA,-,Mil Reais
Itabuna - BA,-,Mil Reais
Itacaré - BA,-,Mil Reais
Itaeté - BA,-,Mil Reais
Itagi - BA,-,Mil Reais
Itagibá - BA,-,Mil Reais
Itagimirim - BA,-,Mil Reais
Itaguaçu da Bahia - BA,-,Mil Reais
Itaju do Colônia - BA,...,Mil Reais
Itajuípe - BA,-,Mil Reais
Itamaraju - BA,-,Mil Reais
Itamari - BA,-,Mil Reais
Itambé - BA,-,Mil Reais
Itanagra - BA,-,Mil Reais
Itanhém - BA,-,Mil Reais
Itaparica - BA,-,Mil Reais
Itapé - BA,-,Mil Reais
Itapebi - BA,-,Mil Reais
Itapetinga - BA,-,Mil Reais
Itapicuru - BA,355,Mil Reais
Itapitanga - BA,-,Mil Reais
Itaquara - BA,-,Mil Reais
Itarantim - BA,-,Mil Reais
Itatim - BA,134,Mil Reais
Itiruçu - BA,-,Mil Reais
Itiúba - BA,-,Mil Reais
Itororó - BA,-,Mil Reais
Ituaçu - BA,-,Mil Reais
Ituberá - BA,-,Mil Reais
Iuiú - BA,-,Mil Reais
Jaborandi - BA,653.292,Mil Reais
Jacaraci - BA,-,Mil Reais
Jacobina - BA,-,Mil Reais
Jaguaquara - BA,-,Mil Reais
Jaguarari - BA,-,Mil Reais
Jaguaripe - BA,-,Mil Reais
Jandaíra - BA,-,Mil Reais
Jequié - BA,-,Mil Reais
Jeremoabo - BA,-,Mil Reais
Jiquiriçá - BA,-,Mil Reais
Jitaúna - BA,-,Mil Reais
João Dourado - BA,-,Mil Reais
Juazeiro - BA,-,Mil Reais
Jucuruçu - BA,-,Mil Reais
Jussara - BA,-,Mil Reais
Jussari - BA,-,Mil Reais
Jussiape - BA,-,Mil Reais
Lafaiete Coutinho - BA,-,Mil Reais
Lagoa Real - BA,-,Mil Reais
Laje - BA,-,Mil Reais
Lajedão - BA,-,Mil Reais
Lajedinho - BA,-,Mil Reais
Lajedo do Tabocal - BA,-,Mil Reais
Lamarão - BA,-,Mil Reais
Lapão - BA,-,Mil Reais
