Soja - Valor da produção (2024),,
localidade,valor,unidade
Açailândia - MA,525.131,Mil Reais
Afonso Cunha - MA,53.981,Mil Reais
Água Doce do Maranhão - MA,-,Mil Reais
Alcântara - MA,-,Mil Reais
Aldeias Altas - MA,80.252,Mil Reais
Altamira do Maranhão - MA,-,Mil Reais
Alto Alegre do Maranhão - MA,-,Mil Reais
Alto Alegre do Pindaré - MA,5.713,Mil Reais
Alto Parnaíba - MA,345.391,Mil Reais
Amapá do Maranhão - MA,-,Mil Reais
Amarante do Maranhão - MA,5.039,Mil Reais
Anajatuba - MA,-,Mil Reais
Anapurus - MA,51.226,Mil Reais
Apicum-Açu - MA,-,Mil Reais
Araguanã - MA,-,Mil Reais
Araioses - MA,-,Mil Reais
Arame - MA,1.045,Mil Reais
Arari - MA,-,Mil Reais
Axixá - MA,-,Mil Reais
Bacabal - MA,-,Mil Reais
Bacabeira - MA,-,Mil Reais
Bacuri - MA,-,Mil Reais
Bacurituba - MA,-,Mil Reais
Balsas - MA,1.283.209,Mil Reais
Barão de Grajaú - MA,-,Mil Reais
Barra do Corda - MA,76.722,Mil Reais
Barreirinhas - MA,-,Mil Reais
Belágua - MA,-,Mil Reais
Bela Vista do Maranhão - MA,-,Mil Reais
Benedito Leite - MA,54.562,Mil Reais
Bequimão - MA,-,Mil Reais
Bernardo do Mearim - MA,-,Mil Reais
Boa Vista do Gurupi - MA,-,Mil Reais
Bom Jardim - MA,126.973,Mil Reais
Bom Jesus das Selvas - MA,30.873,Mil Reais
Bom Lugar - MA,-,Mil Reais
Brejo - MA,90.286,Mil Reais
Brejo de Areia - MA,-,Mil Reais
Buriti - MA,77.745,Mil Reais
Buriti Bravo - MA,107.100,Mil Reais
Buriticupu - MA,314.574,Mil Reais
Buritirana - MA,-,Mil Reais
Cachoeira Grande - MA,-,Mil Reais
Cajapió - MA,-,Mil Reais
Cajari - MA,-,Mil Reais
Campestre do Maranhão - MA,-,Mil Reais
Cândido Mendes - MA,-,Mil Reais
Cantanhede - MA,-,Mil Reais
Capinzal do Norte - MA,-,Mil Reais
Carolina - MA,153.098,Mil Reais
Carutapera - MA,-,Mil Reais
Caxias - MA,105.617,Mil Reais
Cedral - MA,-,Mil Reais
Central do Maranhão - MA,-,Mil Reais
Centro do Guilherme - MA,-,Mil Reais
Centro Novo do Maranhão - MA,-,Mil Reais
Chapadinha - MA,31.462,Mil Reais
Cidelândia - MA,57.696,Mil Reais
Codó - MA,21.655,Mil Reais
Coelho Neto - MA,-,Mil Reais
Colinas - MA,65.908,Mil Reais
Conceição do Lago-Açu - MA,-,Mil Reais
Coroatá - MA,-,Mil Reais
Cururupu - MA,-,Mil Reais
Davinópolis - MA,-,Mil Reais
Dom Pedro - MA,-,Mil Reais
Duque Bacelar - MA,-,Mil Reais
Esperantinópolis - MA,2.062,Mil Reais
Estreito - MA,42.164,Mil Reais
Feira Nova do Maranhão - MA,9.384,Mil Reais
Fernando Falcão - MA,78.549,Mil Reais
Formosa da Serra Negra - MA,1.131,Mil Reais
Fortaleza dos Nogueiras - MA,102.057,Mil Reais
Fortuna - MA,26.104,Mil Reais
Godofredo Viana - MA,-,Mil Reais
Gonçalves Dias - MA,-,Mil Reais
Governador Archer - MA,-,Mil Reais
Governador Edison Lobão - MA,-,Mil Reais
Governador Eugênio Barros - MA,35.257,Mil Reais
Governador Luiz Rocha - MA,16.431,Mil Reais
Governador Newton Bello - MA,-,Mil Reais
Governador Nunes Freire - MA,-,Mil Reais
Graça Aranha - MA,-,Mil Reais
Grajaú - MA,263.402,Mil Reais
Guimarães - MA,-,Mil Reais
Humberto de Campos - MA,-,Mil Reais
Icatu - MA,-,Mil Reais
Igarapé do Meio - MA,-,Mil Reais
Igarapé Grande - MA,-,Mil Reais
Imperatriz - MA,-,Mil Reais
Itaipava do Grajaú - MA,-,Mil Reais
Itapecuru Mirim - MA,-,Mil Reais
Itinga do Maranhão - MA,264.069,Mil Reais
Jatobá - MA,3.158,Mil Reais
Jenipapo dos Vieiras - MA,1.819,Mil Reais
João Lisboa - MA,2.007,Mil Reais
Joselândia - MA,-,Mil Reais
Junco do Maranhão - MA,-,Mil Reais
Lago da Pedra - MA,70.382,Mil Reais
Lago do Junco - MA,-,Mil Reais
Lago Verde - MA,-,Mil Reais
Lagoa do Mato - MA,70.186,Mil Reais
Lago dos Rodrigues - MA,-,Mil Reais
Lagoa Grande do Maranhão - MA,-,Mil Reais
Lajeado Novo - MA,9.414,Mil Reais
Lima Campos - MA,-,Mil Reais
Loreto - MA,182.032,Mil Reais
Luís Domingues - MA,-,Mil Reais
Magalhães de Almeida - MA,27.172,Mil Reais
Maracaçumé - MA,-,Mil Reais
Marajá do Sena - MA,25.778,Mil Reais
Maranhãozinho - MA,-,Mil Reais
Mata Roma - MA,64.018,Mil Reais
Matinha - MA,-,Mil Reais
Matões - MA,58.800,Mil Reais
Matões do Norte - MA,-,Mil Reais
Milagres do Maranhão - MA,26.906,Mil Reais
Mirador - MA,282.483,Mil Reais
Miranda do Norte - MA,-,Mil Reais
Mirinzal - MA,-,Mil Reais
Monção - MA,-,Mil Reais
Montes Altos - MA,-,Mil Reais
Morros - MA,-,Mil Reais
Nina Rodrigues - MA,-,Mil Reais
Nova Colinas - MA,21.790,Mil Reais
Nova Iorque - MA,10.785,Mil Reais
Nova Olinda do Maranhão - MA,-,Mil Reais
Olho d`Água das Cunhãs - MA,-,Mil Reais
Olinda Nova do Maranhão - MA,-,Mil Reais
Paço do Lumiar - MA,-,Mil Reais
Palmeirândia - MA,-,Mil Reais
Paraibano - MA,9.591,Mil Reais
Parnarama - MA,122.850,Mil Reais
Passagem Franca - MA,30.743,Mil Reais
Pastos Bons - MA,82.799,Mil Reais
Paulino Neves - MA,-,Mil Reais
Paulo Ramos - MA,6.336,Mil Reais
Pedreiras - MA,-,Mil Reais
Pedro do Rosário - MA,-,Mil Reais
Penalva - MA,-,Mil Reais
Peri Mirim - MA,-,Mil Reais
Peritoró - MA,-,Mil Reais
Pindaré-Mirim - MA,-,Mil Reais
Pinheiro - MA,-,Mil Reais
Pio XII - MA,-,Mil Reais
Pirapemas - MA,-,Mil Reais
Poção de Pedras - MA,-,Mil Reais
Porto Franco - MA,7.224,Mil Reais
Porto Rico do Maranhão - MA,-,Mil Reais
Presidente Dutra - MA,-,Mil Reais
Presidente Juscelino - MA,-,Mil Reais
Presidente Médici - MA,-,Mil Reais
Presidente Sarney - MA,-,Mil Reais
Presidente Vargas - MA,-,Mil Reais
Primeira Cruz - MA,-,Mil Reais
Raposa - MA,-,Mil Reais
Riachão - MA,289.960,Mil Reais
Ribamar Fiquene - MA,-,Mil Reais
Rosário - MA,-,Mil Reais
Sambaíba - MA,221.806,Mil Reais
Santa Filomena do Maranhão - MA,692,Mil Reais
Santa Helena - MA,-,Mil Reais
Santa Inês - MA,-,Mil Reais
Santa Luzia - MA,99.820,Mil Reais
Santa Luzia do Paruá - MA,-,Mil Reais
Santa Quitéria do Maranhão - MA,25.641,Mil Reais
Santa Rita - MA,-,Mil Reais
Santana do Maranhão - MA,-,Mil Reais
Santo Amaro do Maranhão - MA,-,Mil Reais
Santo Antônio dos Lopes - MA,-,Mil Reais
São Benedito do Rio Preto - MA,9.453,Mil Reais
São Bento - MA,-,Mil Reais
São Bernardo - MA,10.418,Mil Reais
São Domingos do Azeitão - MA,231.345,Mil Reais
São Domingos do Maranhão - MA,23.098,Mil Reais
São Félix de Balsas - MA,25.731,Mil Reais
São Francisco do Brejão - MA,-,Mil Reais
São Francisco do Maranhão - MA,26.691,Mil Reais
São João Batista - MA,-,Mil Reais
São João do Carú - MA,-,Mil Reais
São João do Paraíso - MA,5.279,Mil Reais
São João do Soter - MA,95.708,Mil Reais
São João dos Patos - MA,40.346,Mil Reais
São José de Ribamar - MA,-,Mil Reais
São José dos Basílios - MA,-,Mil Reais
São Luís - MA,-,Mil Reais
São Luís Gonzaga do Maranhão - MA,-,Mil Reais
São Mateus do Maranhão - MA,-,Mil Reais
São Pedro da Água Branca - MA,9.235,Mil Reais
São Pedro dos Crentes - MA,11.126,Mil Reais
São Raimundo das Mangabeiras - MA,112.417,Mil Reais
