Soja - Valor da produção (2024),,
localidade,valor,unidade
Abaetetuba - PA,-,Mil Reais
Abel Figueiredo - PA,32.759,Mil Reais
Acará - PA,-,Mil Reais
Afuá - PA,-,Mil Reais
Água Azul do Norte - PA,5.940,Mil Reais
Alenquer - PA,-,Mil Reais
Almeirim - PA,-,Mil Reais
Altamira - PA,100.184,Mil Reais
Anajás - PA,-,Mil Reais
Ananindeua - PA,...,Mil Reais
Anapu - PA,-,Mil Reais
Augusto Corrêa - PA,-,Mil Reais
Aurora do Pará - PA,-,Mil Reais
Aveiro - PA,-,Mil Reais
Bagre - PA,-,Mil Reais
Baião - PA,-,Mil Reais
Bannach - PA,13.024,Mil Reais
Barcarena - PA,-,Mil Reais
Belém - PA,...,Mil Reais
Belterra - PA,176.400,Mil Reais
Benevides - PA,...,Mil Reais
Bom Jesus do Tocantins - PA,-,Mil Reais
Bonito - PA,-,Mil Reais
Bragança - PA,-,Mil Reais
Brasil Novo - PA,-,Mil Reais
Brejo Grande do Araguaia - PA,4.080,Mil Reais
Breu Branco - PA,40.631,Mil Reais
Breves - PA,-,Mil Reais
Bujaru - PA,-,Mil Reais
Cachoeira do Piriá - PA,-,Mil Reais
Cachoeira do Arari - PA,-,Mil Reais
Cametá - PA,-,Mil Reais
Canaã dos Carajás - PA,-,Mil Reais
Capanema - PA,-,Mil Reais
Capitão Poço - PA,-,Mil Reais
Castanhal - PA,-,Mil Reais
Chaves - PA,-,Mil Reais
Colares - PA,-,Mil Reais
Conceição do Araguaia - PA,135.783,Mil Reais
Concórdia do Pará - PA,-,Mil Reais
Cumaru do Norte - PA,324.000,Mil Reais
Curionópolis - PA,13.386,Mil Reais
Curralinho - PA,-,Mil Reais
Curuá - PA,-,Mil Reais
Curuçá - PA,-,Mil Reais
Dom Eliseu - PA,992.135,Mil Reais
Eldorado do Carajás - PA,-,Mil Reais
Faro - PA,-,Mil Reais
Floresta do Araguaia - PA,68.520,Mil Reais
Garrafão do Norte - PA,-,Mil Reais
Goianésia do Pará - PA,57.646,Mil Reais
Gurupá - PA,-,Mil Reais
Igarapé-Açu - PA,-,Mil Reais
Igarapé-Miri - PA,-,Mil Reais
Inhangapi - PA,-,Mil Reais
Ipixuna do Pará - PA,49.595,Mil Reais
Irituia - PA,-,Mil Reais
Itaituba - PA,-,Mil Reais
Itupiranga - PA,-,Mil Reais
Jacareacanga - PA,3.888,Mil Reais
Jacundá - PA,1.650,Mil Reais
Juruti - PA,-,Mil Reais
Limoeiro do Ajuru - PA,-,Mil Reais
Mãe do Rio - PA,-,Mil Reais
Magalhães Barata - PA,-,Mil Reais
Marabá - PA,3.068,Mil Reais
Maracanã - PA,-,Mil Reais
Marapanim - PA,-,Mil Reais
Marituba - PA,...,Mil Reais
Medicilândia - PA,-,Mil Reais
Melgaço - PA,-,Mil Reais
Mocajuba - PA,-,Mil Reais
Moju - PA,-,Mil Reais
Monte Alegre - PA,3.849,Mil Reais
Muaná - PA,-,Mil Reais
Nova Esperança do Piriá - PA,-,Mil Reais
Nova Ipixuna - PA,-,Mil Reais
Nova Timboteua - PA,-,Mil Reais
Novo Progresso - PA,156.440,Mil Reais
Novo Repartimento - PA,-,Mil Reais
Óbidos - PA,-,Mil Reais
Oeiras do Pará - PA,-,Mil Reais
Oriximiná - PA,-,Mil Reais
Ourém - PA,-,Mil Reais
Ourilândia do Norte - PA,-,Mil Reais
Pacajá - PA,-,Mil Reais
Palestina do Pará - PA,-,Mil Reais
Paragominas - PA,1.690.133,Mil Reais
Parauapebas - PA,-,Mil Reais
Pau d`Arco - PA,30.000,Mil Reais
Peixe-Boi - PA,-,Mil Reais
Piçarra - PA,1.320,Mil Reais
Placas - PA,12.000,Mil Reais
Ponta de Pedras - PA,-,Mil Reais
Portel - PA,-,Mil Reais
Porto de Moz - PA,-,Mil Reais
Prainha - PA,-,Mil Reais
Primavera - PA,-,Mil Reais
Quatipuru - PA,-,Mil Reais
Redenção - PA,81.841,Mil Reais
Rio Maria - PA,9.600,Mil Reais
Rondon do Pará - PA,561.746,Mil Reais
Rurópolis - PA,3.968,Mil Reais
Salinópolis - PA,-,Mil Reais
Salvaterra - PA,-,Mil Reais
Santa Bárbara do Pará - PA,-,Mil Reais
Santa Cruz do Arari - PA,...,Mil Reais
Santa Izabel do Pará - PA,-,Mil Reais
Santa Luzia do Pará - PA,-,Mil Reais
Santa Maria das Barreiras - PA,576.818,Mil Reais
Santa Maria do Pará - PA,-,Mil Reais
Santana do Araguaia - PA,810.000,Mil Reais
Santarém - PA,164.970,Mil Reais
