Soja - Valor da produção (2024),,
localidade,valor,unidade
Aparecida do Rio Negro - TO,229.166,Mil Reais
Araguaçu - TO,75.306,Mil Reais
Axixá do Tocantins - TO,-,Mil Reais
Buriti do Tocantins - TO,-,Mil Reais
Cariri do Tocantins - TO,114.833,Mil Reais
Conceição do Tocantins - TO,995,Mil Reais
Darcinópolis - TO,81.600,Mil Reais
Dois Irmãos do Tocantins - TO,76.413,Mil Reais
Esperantina - TO,-,Mil Reais
Goianorte - TO,76.096,Mil Reais
Goiatins - TO,104.183,Mil Reais
Paranã - TO,392,Mil Reais
Porto Alegre do Tocantins - TO,10.062,Mil Reais
Riachinho - TO,3.300,Mil Reais
Santa Rosa do Tocantins - TO,175.244,Mil Reais
São Félix do Tocantins - TO,838,Mil Reais
Aliança do Tocantins - TO,59.553,Mil Reais
Araguanã - TO,3.038,Mil Reais
Aurora do Tocantins - TO,-,Mil Reais
Bandeirantes do Tocantins - TO,-,Mil Reais
Brasilândia do Tocantins - TO,6.718,Mil Reais
Carrasco Bonito - TO,-,Mil Reais
Cristalândia - TO,62.786,Mil Reais
Dianópolis - TO,112.084,Mil Reais
Fátima - TO,22.838,Mil Reais
Jaú do Tocantins - TO,7.730,Mil Reais
Lizarda - TO,40.142,Mil Reais
Miranorte - TO,77.177,Mil Reais
Natividade - TO,27.400,Mil Reais
Novo Acordo - TO,75.375,Mil Reais
Ponte Alta do Bom Jesus - TO,1.533,Mil Reais
Rio dos Bois - TO,34.822,Mil Reais
Sucupira - TO,110.313,Mil Reais
Aguiarnópolis - TO,-,Mil Reais
Araguaína - TO,38.331,Mil Reais
Babaçulândia - TO,7.886,Mil Reais
Campos Lindos - TO,388.716,Mil Reais
Caseara - TO,314.635,Mil Reais
Crixás do Tocantins - TO,29.363,Mil Reais
Guaraí - TO,76.061,Mil Reais
Itaporã do Tocantins - TO,-,Mil Reais
Lajeado - TO,-,Mil Reais
Palmeiras do Tocantins - TO,3.960,Mil Reais
Pedro Afonso - TO,146.741,Mil Reais
Praia Norte - TO,-,Mil Reais
Rio da Conceição - TO,31.544,Mil Reais
São Bento do Tocantins - TO,4.356,Mil Reais
Sítio Novo do Tocantins - TO,-,Mil Reais
Palmas - TO,88.167,Mil Reais
Alvorada - TO,144.411,Mil Reais
Angico - TO,2.400,Mil Reais
Arapoema - TO,5.991,Mil Reais
Bernardo Sayão - TO,30.600,Mil Reais
Centenário - TO,26.166,Mil Reais
Combinado - TO,-,Mil Reais
Filadélfia - TO,-,Mil Reais
Fortaleza do Tabocão - TO,24.953,Mil Reais
Gurupi - TO,107.383,Mil Reais
Novo Jardim - TO,2.470,Mil Reais
Colméia - TO,-,Mil Reais
Recursolândia - TO,-,Mil Reais
Santa Maria do Tocantins - TO,72.918,Mil Reais
São Sebastião do Tocantins - TO,-,Mil Reais
Silvanópolis - TO,102.945,Mil Reais
Talismã - TO,71.028,Mil Reais
Tocantinópolis - TO,-,Mil Reais
Xambioá - TO,2.360,Mil Reais
Ananás - TO,13.068,Mil Reais
Araguacema - TO,250.373,Mil Reais
Brejinho de Nazaré - TO,124.388,Mil Reais
Chapada de Areia - TO,8.834,Mil Reais
Colinas do Tocantins - TO,-,Mil Reais
Dueré - TO,25.762,Mil Reais
Figueirópolis - TO,175.406,Mil Reais
Formoso do Araguaia - TO,49.615,Mil Reais
Itapiratins - TO,101.650,Mil Reais
Juarina - TO,5.102,Mil Reais
Lavandeira - TO,-,Mil Reais
Mateiros - TO,272.645,Mil Reais
Monte do Carmo - TO,239.509,Mil Reais
Muricilândia - TO,16.489,Mil Reais
Nova Olinda - TO,2.360,Mil Reais
Palmeirópolis - TO,25.918,Mil Reais
Pau d`Arco - TO,4.974,Mil Reais
Pequizeiro - TO,11.796,Mil Reais
Pindorama do Tocantins - TO,19.818,Mil Reais
Piraquê - TO,32.304,Mil Reais
Ponte Alta do Tocantins - TO,3.943,Mil Reais
Pugmil - TO,35.970,Mil Reais
Sampaio - TO,-,Mil Reais
Santa Tereza do Tocantins - TO,3.122,Mil Reais
São Salvador do Tocantins - TO,500,Mil Reais
Wanderlândia - TO,14.019,Mil Reais
Abreulândia - TO,73.176,Mil Reais
Arraias - TO,-,Mil Reais
Bom Jesus do Tocantins - TO,112.637,Mil Reais
Carmolândia - TO,-,Mil Reais
Chapada da Natividade - TO,80.073,Mil Reais
Couto Magalhães - TO,80.580,Mil Reais
Itacajá - TO,38.582,Mil Reais
Miracema do Tocantins - TO,109.866,Mil Reais
Palmeirante - TO,19.730,Mil Reais
Peixe - TO,245.991,Mil Reais
Pium - TO,200.702,Mil Reais
Presidente Kennedy - TO,-,Mil Reais
