Soja - Valor da produção (2024),,
localidade,valor,unidade
Acauã - PI,-,Mil Reais
Agricolândia - PI,6.678,Mil Reais
Água Branca - PI,-,Mil Reais
Alagoinha do Piauí - PI,-,Mil Reais
Alegrete do Piauí - PI,-,Mil Reais
Alto Longá - PI,-,Mil Reais
Altos - PI,-,Mil Reais
Alvorada do Gurguéia - PI,34.288,Mil Reais
Amarante - PI,-,Mil Reais
Angical do Piauí - PI,-,Mil Reais
Anísio de Abreu - PI,-,Mil Reais
Antônio Almeida - PI,45.041,Mil Reais
Aroazes - PI,-,Mil Reais
Arraial - PI,-,Mil Reais
Assunção do Piauí - PI,-,Mil Reais
Avelino Lopes - PI,-,Mil Reais
Baixa Grande do Ribeiro - PI,1.955.021,Mil Reais
Barra d`Alcântara - PI,-,Mil Reais
Barras - PI,932,Mil Reais
Barreiras do Piauí - PI,118.985,Mil Reais
Barro Duro - PI,-,Mil Reais
Batalha - PI,-,Mil Reais
Bela Vista do Piauí - PI,-,Mil Reais
Belém do Piauí - PI,-,Mil Reais
Beneditinos - PI,-,Mil Reais
Bertolínia - PI,-,Mil Reais
Betânia do Piauí - PI,-,Mil Reais
Boa Hora - PI,5.592,Mil Reais
Bocaina - PI,-,Mil Reais
Bom Jesus - PI,643.421,Mil Reais
Bom Princípio do Piauí - PI,-,Mil Reais
Bonfim do Piauí - PI,-,Mil Reais
Boqueirão do Piauí - PI,-,Mil Reais
Brasileira - PI,-,Mil Reais
Brejo do Piauí - PI,-,Mil Reais
Buriti dos Lopes - PI,1.078,Mil Reais
Buriti dos Montes - PI,-,Mil Reais
Cabeceiras do Piauí - PI,-,Mil Reais
Cajazeiras do Piauí - PI,-,Mil Reais
Cajueiro da Praia - PI,-,Mil Reais
Caldeirão Grande do Piauí - PI,-,Mil Reais
Campinas do Piauí - PI,-,Mil Reais
Campo Alegre do Fidalgo - PI,-,Mil Reais
Campo Grande do Piauí - PI,-,Mil Reais
Campo Largo do Piauí - PI,-,Mil Reais
Campo Maior - PI,-,Mil Reais
Canavieira - PI,-,Mil Reais
Canto do Buriti - PI,-,Mil Reais
Capitão de Campos - PI,1.777,Mil Reais
Capitão Gervásio Oliveira - PI,-,Mil Reais
Caracol - PI,-,Mil Reais
Caraúbas do Piauí - PI,-,Mil Reais
Caridade do Piauí - PI,-,Mil Reais
Castelo do Piauí - PI,-,Mil Reais
Caxingó - PI,-,Mil Reais
Cocal - PI,7.369,Mil Reais
Cocal de Telha - PI,-,Mil Reais
Cocal dos Alves - PI,-,Mil Reais
Coivaras - PI,-,Mil Reais
Colônia do Gurguéia - PI,-,Mil Reais
Colônia do Piauí - PI,-,Mil Reais
Conceição do Canindé - PI,-,Mil Reais
Coronel José Dias - PI,-,Mil Reais
Corrente - PI,104.612,Mil Reais
Cristalândia do Piauí - PI,11.829,Mil Reais
Cristino Castro - PI,-,Mil Reais
Curimatá - PI,-,Mil Reais
Currais - PI,360.186,Mil Reais
Curralinhos - PI,5.081,Mil Reais
Curral Novo do Piauí - PI,-,Mil Reais
Demerval Lobão - PI,-,Mil Reais
Dirceu Arcoverde - PI,-,Mil Reais
Dom Expedito Lopes - PI,-,Mil Reais
Domingos Mourão - PI,-,Mil Reais
Dom Inocêncio - PI,-,Mil Reais
Elesbão Veloso - PI,-,Mil Reais
Eliseu Martins - PI,-,Mil Reais
