OBJECTID_1;Sigla;Nome da Instalação;Razão Social;Município;UF;Latitude;Longitude;Capacidade Autorizada (m3/d);x;y
24;RPCC;REFINARIA POTIGUAR CLARA CAMARÃO;PETROLEO BRASILEIRO S/A;GUAMARE;RN;-5.12738278;-36.38022777;7100;-36.380227769999976;-5.127382779999948
25;RNEST;PETROBRAS REFINARIA ABREU E LIMA;PETROLEO BRASILEIRO S/A;IPOJUCA;PE;-8.37964643;-35.01154005;18285;-35.01154004999995;-8.37964642999998
26;LUBNOR;LUBRIFICANTES E DERIVADOS DE PETRÓLEO DO NORDESTE;PETROLEO BRASILEIRO S/A;FORTALEZA;CE;-3.71665623;-38.47323664;1650;-38.47323663999998;-3.7166562299999555
27;REAM;REFINARIA DA AMAZÔNIA;REAM PARTICIPAÇÕES S/A;MANAUS;AM;-3.14355833;-59.95379167;7300;-59.95379166999999;-3.143558329999962
28;PARANÁ XISTO;UNIDADE DE INDUSTRIALIZAÇÃO DO XISTO;PARANÁ XISTO  S/A;SAO MATEUS DO SUL;PR;-25.86008923;-50.3971735;7800;-50.39717349999995;-25.86008922999997
29;DAX OIL;DAX OIL REFINO S/A;DAX OIL REFINO S/A;CAMACARI;BA;-12.65848667;-38.30663333;333;-38.306633329999954;-12.658486669999945
30;REGAP;REFINARIA GABRIEL PASSOS;PETROLEO BRASILEIRO S/A;BETIM;MG;-19.96414;-44.095005;26400;-44.09500499999996;-19.96413999999993
31;REPLAN;REFINARIA DE PAULÍNIA;PETROLEO BRASILEIRO S/A;PAULINIA;SP;-22.72981589;-47.14770314;69000;-47.147703139999976;-22.72981588999994
32;REFINARIA DE MATARIPE;REFINARIA DE MATARIPE;ACELEN;SAO FRANCISCO DO CONDE;BA;-12.70598;-38.584645;60000;-38.584644999999966;-12.705979999999954
33;REPAR;REFINARIA PRESIDENTE GETÚLIO VARGAS;PETROLEO BRASILEIRO S/A;ARAUCARIA;PR;-25.56514333;-49.36977;34000;-49.36976999999996;-25.565143329999955
34;MANGUINHOS;REFINARIA DE PETRÓLEO DE MANGUINHOS S/A;REFINARIA DE PETRÓLEOS DE MANGUINHOS S/A;RIO DE JANEIRO;RJ;-22.885915;-43.23771167;1590;-43.23771166999995;-22.885914999999954
35;REVAP;REFINARIA HENRIQUE LAGE;PETROLEO BRASILEIRO S/A;SAO JOSE DOS CAMPOS;SP;-23.18566765;-45.83535205;40000;-45.83535204999998;-23.18566764999997
36;RPBC;REFINARIA PRESIDENTE BERNARDES;PETROLEO BRASILEIRO S/A;CUBATAO;SP;-23.87206;-46.42969333;27000;-46.429693329999964;-23.872059999999976
37;REFAP;REFINARIA ALBERTO PASQUALINI;PETROLEO BRASILEIRO S/A;CANOAS;RS;-29.86975523;-51.17716463;35000;-51.177164629999936;-29.869755229999953
38;RECAP;REFINARIA DE CAPUAVA;PETROLEO BRASILEIRO S/A;MAUA;SP;-23.654935;-46.48148667;10000;-46.48148666999998;-23.654934999999966
39;RIOGRANDENSE;REFINARIA DE PETRÓLEO RIOGRANDENSE S/A;REFINARIA DE PETRÓLEO RIOGRANDENSE S.A.;RIO GRANDE;RS;-32.04717833;-52.09054;2705;-52.090539999999976;-32.04717832999995
40;REDUC;REFINARIA DUQUE DE CAXIAS;PETROLEO BRASILEIRO S/A;DUQUE DE CAXIAS;RJ;-22.7183844;-43.27725814;40000;-43.27725813999996;-22.718384399999934
41;BRASKEM;BRASKEM TRIUNFO;BRASKEM S/A;TRIUNFO;RS;-29.876718;-51.383896;0;-51.383895999999936;-29.876717999999983
42;BRASKEM;BRASKEM CAMAÇARI;BRASKEM S/A;CAMACARI;BA;-12.662503;-38.316782;0;-38.31678199999993;-12.662502999999958
43;BRASKEM;BRASKEM MAUÁ;BRASKEM S/A;MAUA;SP;-23.632354;-46.482632;0;-46.48263199999997;-23.632353999999964
44;BRASKEM;BRASKEM DUQUE DE CAXIAS;BRASKEM S/A;DUQUE DE CAXIAS;RJ;-22.713593;-43.240781;0;-43.24078099999997;-22.713592999999946
