Nome;Estado;Município;Transportadora;Categoria;Fonte;Segmento;FID;x;y
UTE Cuiabá (Ambar/Mário Covas) - GN/OD;MT;Cuiabá;Gas Ocidente;Existente;Informações Técnicas GasOcidente abril 2023 (https://gasocidentemt.com.br/transparencia-plaraforma-eletronica-anp/);Termeletrico;919;;
Águas Claras;SE;Estância;TAG;Existente;Informações Técnicas TAG abril 2023 (https://ntag.com.br/transparencia/);Industrial, Comercial e outros;920;;
Anamã;AM;Anamã;TAG;Existente;Informações Técnicas TAG abril 2023 (https://ntag.com.br/transparencia/);Industrial, Comercial e outros;921;;
Anchieta;ES;Anchieta;TAG;Existente;Informações Técnicas TAG abril 2023 (https://ntag.com.br/transparencia/);Industrial, Comercial e outros;922;;
Anori;AM;Anori;TAG;Existente;Informações Técnicas TAG abril 2023 (https://ntag.com.br/transparencia/);Industrial, Comercial e outros;923;;
Aparecida;AM;Aparecida;TAG;Existente;Informações Técnicas TAG abril 2023 (https://ntag.com.br/transparencia/);Industrial, Comercial e outros;924;;
Aquiraz;CE;Aquiraz;TAG;Existente;Informações Técnicas TAG abril 2023 (https://ntag.com.br/transparencia/);Industrial, Comercial e outros;925;;
Aracaju;SE;Aracaju;TAG;Existente;Informações Técnicas TAG abril 2023 (https://ntag.com.br/transparencia/);Industrial, Comercial e outros;926;;
Aracati;CE;Aracati;TAG;Existente;Informações Técnicas TAG abril 2023 (https://ntag.com.br/transparencia/);Industrial, Comercial e outros;928;;
Aratu Residual;BA;Simões Filho;TAG;Existente;Informações Técnicas TAG abril 2023 (https://ntag.com.br/transparencia/);Industrial, Comercial e outros;929;;
Barbacena;MG;Barbacena;NTS;Existente;Informações Técnicas NTS abril 2023 (https://www.ntsbrasil.com/pt/sistemas/);Industrial, Comercial e outros;930;;
Barra Mansa II;RJ;Barra Mansa;NTS;Existente;Informações Técnicas NTS abril 2023 (https://www.ntsbrasil.com/pt/sistemas/);Industrial, Comercial e outros;931;;
