Nome;Município;UF;Proprietário;Classificação;Fonte;MMm3d;FID;x;y
Bahia;Salvador;BA;PETROBRAS;Existente;MME:Anexo do Boletim Mensal de Acompanhamento da Indústria de Gás Natural (dez 2024);20;40;-38.61858305099997;-12.753541516999974
Baía de Guanabara;Rio de Janeiro;RJ;PETROBRAS;Existente;MME:Anexo do Boletim Mensal de Acompanhamento da Indústria de Gás Natural (dez 2024);20;41;-43.13214871399998;-22.782865624999943
Sergipe;Barra dos Coqueiros;SE;CELSE;Existente;MME:Anexo do Boletim Mensal de Acompanhamento da Indústria de Gás Natural (dez 2024);21;43;-36.87236977799995;-10.857602164999946
Barcarena;Barcarena;PA;New Fortress;Existente;MME:Anexo do Boletim Mensal de Acompanhamento da Indústria de Gás Natural (dez 2024);15;45;-48.74453210599995;-1.5274210709999352
Porto do Açu;São João da Barra;RJ;GNA;Existente;MME:Anexo do Boletim Mensal de Acompanhamento da Indústria de Gás Natural (dez 2024);14;47;-40.99249822999997;-21.836606547999963
TRSP;Santos;SP;Compass;Existente;MME:Anexo do Boletim Mensal de Acompanhamento da Indústria de Gás Natural (dez 2024);14;48;-46.363349469999946;-23.91421369699998
TGS;São Francisco do Sul;SC;New Fortress;Existente;MME:Anexo do Boletim Mensal de Acompanhamento da Indústria de Gás Natural (dez 2024);15;49;-48.56440220199994;-26.17306216999998
Itacoatiara ;Itacoatiara;AM;Indefinido;Indicativo;PITER 2021 Plano Indicativo Terminais GNL 2021 - Estimativa preliminar custos totais R$ 175,3 milhoes;14;57;-58.43353185299998;-3.1553297529999327
São Luís ;São Luís;MA;Indefinido;Indicativo;PITER 2021 Plano Indicativo Terminais GNL 2021 - Estimativa preliminar custos totais R$ 352,3 milhoes;14;58;-44.36757852299996;-2.59719512099997
Presidente Kennedy ;Presidente Kennedy;ES;Indefinido;Indicativo;PITER 2021 Plano Indicativo Terminais GNL 2021 - Estimativa preliminar custos totais R$ 290,9 milhoes;14;59;-40.950284745999966;-21.24974716899993
Pontal do Paraná;Pontal do Paraná;PR;Indefinido;Indicativo;PITER 2021 Plano Indicativo Terminais GNL 2021 - Estimativa preliminar custos totais R$ 275,0 milhoes;14;60;-48.379947147999985;-25.537379551999948
Suape;Ipojuca;PE;Oncorp;Previsto;PDE 2025;14;62;-34.95719486799993;-8.40314449799996
